defense,seed,initial_containment_failure,final_containment_failure,escalation,mean_false_block_rate
static,0,0.012078510317060896,0.05806451612903226,0.04598600581197136,0.10374999999999995
static,1,0.20256283883686546,0.449012494961709,0.2464496561248435,0.10049999999999996
static,2,0.1198044009779951,0.35203426124197,0.2322298602639749,0.10144999999999997
static,3,0.13254203758654798,0.3619402985074627,0.2293982609209147,0.10069999999999996
static,4,0.16480853126514786,0.4040782355389097,0.23926970427376185,0.0947
static,5,0.19470793809286072,0.4318181818181818,0.2371102437253211,0.09775
static,6,0.3189522342064715,0.5342084327764519,0.2152561985699804,0.10250000000000001
static,7,0.32338308457711445,0.5385217051231912,0.21513862054607674,0.09865000000000003
static,8,0.21710855427713857,0.4577270939834841,0.24061853970634553,0.0991
static,9,0.0554730064388311,0.17729468599033815,0.12182167955150705,0.09805000000000004
static,10,0.06208651399491094,0.18696883852691218,0.12488232453200124,0.10044999999999998
static,11,0.10245098039215686,0.3116098403107467,0.20915885991858982,0.09905000000000003
static,12,0.17339312406576982,0.42643492320129345,0.2530417991355236,0.09969999999999997
static,13,0.3128355295265983,0.5201238390092879,0.20728830948268961,0.0989
static,14,0.1560140915953699,0.39893834218048185,0.24292425058511194,0.09375
static,15,0.2970941883767535,0.511618747538401,0.21452455916164748,0.09980000000000003
static,16,0.26095617529880477,0.494188376753507,0.23323220145470225,0.09905000000000003
static,17,0.05330700888450148,0.1763841254287114,0.12307711654420991,0.10139999999999999
static,18,0.019801980198019802,0.10574948665297741,0.0859475064549576,0.09980000000000003
static,19,0.04929917834702755,0.197361993160723,0.14806281481369546,0.10510000000000004
static,20,0.20651629072681704,0.43162565550625254,0.2251093647794355,0.09914999999999997
static,21,0.014456630109670987,0.05331179321486268,0.038855163105191694,0.09669999999999995
static,22,0.13929618768328444,0.35885761589403975,0.2195614282107553,0.10210000000000002
static,23,0.2989949748743719,0.5151878497202238,0.21619287484585192,0.10009999999999998
static,24,0.03779214321233217,0.1326219512195122,0.09482980800718002,0.09600000000000003
static,25,0.17177297840281266,0.4060975609756098,0.23432458257279712,0.09684999999999998
static,26,0.008113590263691683,0.04647256438969765,0.03835897412600597,0.09770000000000002
static,27,0.047784967645594825,0.1638846737481032,0.11609970610250837,0.10345000000000001
static,28,0.12037962037962038,0.3266811279826464,0.20630150760302604,0.09640000000000001
static,29,0.15418287937743191,0.3928280358598207,0.23864515648238876,0.09960000000000001
moving,0,0.08454957221942627,0.2515923566878981,0.16704278446847182,0.10345166666666669
moving,1,0.05717102020699852,0.17579250720461095,0.11862148699761244,0.09969666666666668
moving,2,0.25036674816625915,0.35927078701645176,0.10890403885019262,0.10089333333333332
moving,3,0.3066271018793274,0.15556458164094233,-0.15106252023838507,0.10068166666666666
moving,4,0.14057198254968492,0.5672844480257857,0.42671246547610076,0.09457166666666668
moving,5,0.07588617074388418,0.08040201005025126,0.004515839306367078,0.09945833333333333
moving,6,0.24293785310734464,0.2865242040994331,0.043586350992088435,0.10132166666666668
moving,7,0.0527363184079602,0.18436213991769548,0.13162582150973529,0.09886166666666667
moving,8,0.016508254127063533,0.19888734353268428,0.18237908940562075,0.09823000000000001
moving,9,0.2139673105497771,0.3548218029350105,0.14085449238523337,0.09946833333333333
moving,10,0.17099236641221374,0.032992565055762084,-0.13799980135645165,0.10014833333333333
moving,11,0.07205882352941176,0.06207211319032405,-0.009986710339087705,0.09871333333333335
moving,12,0.14150473343298456,0.22430406852248394,0.08279933508949938,0.09961833333333332
moving,13,0.18936066373840899,0.5318499127399651,0.3424892490015561,0.1011633333333333
moving,14,0.14393558127830902,0.3892156862745098,0.2452801049962008,0.09574999999999999
moving,15,0.1187374749498998,0.4385052034058657,0.3197677284559659,0.09791166666666666
moving,16,0.26095617529880477,0.1076650420912716,-0.15329113320753318,0.0989
moving,17,0.016288252714708785,0.4540991654393716,0.4378109127246628,0.10193833333333333
moving,18,0.0049504950495049506,0.31330916623511135,0.3083586711856064,0.10067499999999999
moving,19,0.12953117448042534,0.2787573467674223,0.14922617228699697,0.10495499999999999
moving,20,0.21002506265664161,0.28078817733990147,0.07076311468325985,0.10030666666666667
moving,21,0.15154536390827517,0.5391798619569631,0.38763449804868794,0.09821166666666666
moving,22,0.04447702834799609,0.060312104597216365,0.015835076249220273,0.10203666666666668
moving,23,0.018090452261306532,0.5833661805281829,0.5652757282668763,0.09800333333333335
moving,24,0.19691695673794132,0.4793463458919655,0.28242938915402416,0.098165
moving,25,0.07132094424912104,0.39053537284894835,0.3192144285998273,0.09663666666666668
moving,26,0.028397565922920892,0.1997792494481236,0.17138168352520272,0.09541166666666664
moving,27,0.16326530612244897,0.42538071065989846,0.2621154045374495,0.10363166666666666
moving,28,0.06493506493506493,0.3011077542799597,0.2361726893448948,0.09688833333333331
moving,29,0.015077821011673152,0.5396502643350956,0.5245724433234225,0.09950999999999999
