defense,escalation_mean,escalation_std,escalation_ci95_halfwidth,final_containment_failure_mean,false_block_rate_mean
static,0.18312323591376556,0.06896644894536641,0.024679326801624962,0.33072157491148474,0.09940666666666667
moving,0.18643429445744394,0.18683799977060056,0.06685911955468861,0.3082239490906369,0.099507
