p,rho,seed,protocol,unsafe_total,unsafe_allowed,safe_total,safe_blocked,containment_failure_rate,false_block_rate,benign_success_rate
0.01,0.5,4,correlation_aware,28119,3,71881,820,0.0001066894270777766,0.011407743353598308,0.9885922566464017
0.01,0.5,4,three_source_diverse,28119,112,71881,298,0.003983071944236993,0.004145740877283288,0.9958542591227167
0.01,0.5,5,single_source,27927,223,72073,527,0.007985104021198123,0.007312030857602708,0.9926879691423973
0.01,0.5,5,redundant_fail_closed,27927,117,72073,812,0.004189494038027715,0.011266354945680075,0.9887336450543199
0.01,0.5,5,correlation_aware,27927,2,72073,805,7.161528270132846e-05,0.01116923119614835,0.9888307688038517
0.01,0.5,5,three_source_diverse,27927,118,72073,277,0.004225301679378379,0.003843325517183966,0.9961566744828161
0.01,0.5,6,single_source,28032,216,71968,525,0.007705479452054794,0.007294908848377056,0.992705091151623
0.01,0.5,6,redundant_fail_closed,28032,98,71968,805,0.0034960045662100455,0.01118552690084482,0.9888144730991552
0.01,0.5,6,correlation_aware,28032,6,71968,792,0.00021404109589041095,0.011004891062694531,0.9889951089373055
0.01,0.5,6,three_source_diverse,28032,103,71968,277,0.0036743721461187213,0.003848932859048466,0.9961510671409516
0.01,0.5,7,single_source,28233,232,71767,536,0.00821733432508058,0.00746861370825031,0.9925313862917496
0.01,0.5,7,redundant_fail_closed,28233,108,71767,805,0.003825310806503028,0.01121685454317444,0.9887831454568256
0.01,0.5,7,correlation_aware,28233,2,71767,846,7.083908900931534e-05,0.011788147755932392,0.9882118522440676
0.01,0.5,7,three_source_diverse,28233,109,71767,322,0.003860730351007686,0.004486741817269776,0.9955132581827302
0.01,0.5,8,single_source,27970,218,72030,558,0.007794065069717555,0.007746772178259058,0.992253227821741
0.01,0.5,8,redundant_fail_closed,27970,116,72030,808,0.004147300679299249,0.01121754824378731,0.9887824517562127
0.01,0.5,8,correlation_aware,27970,4,72030,801,0.00014301036825169826,0.011120366513952519,0.9888796334860475
0.01,0.5,8,three_source_diverse,27970,117,72030,292,0.004183053271362174,0.004053866444536998,0.995946133555463
0.01,0.5,9,single_source,27967,221,72033,555,0.00790217041513212,0.00770480196576569,0.9922951980342343
0.01,0.5,9,redundant_fail_closed,27967,125,72033,828,0.0044695534022240494,0.011494731581358544,0.9885052684186415
0.01,0.5,9,correlation_aware,27967,5,72033,822,0.00017878213608896198,0.011411436424971888,0.9885885635750281
0.01,0.5,9,three_source_diverse,27967,128,72033,290,0.004576822683877427,0.004025932558688379,0.9959740674413117
0.01,0.5,10,single_source,27722,238,72278,526,0.00858523916023375,0.00727745648745123,0.9927225435125487
0.01,0.5,10,redundant_fail_closed,27722,118,72278,781,0.0042565471466705146,0.010805500982318271,0.9891944990176817
0.01,0.5,10,correlation_aware,27722,3,72278,784,0.00010821730033908087,0.010847007388140236,0.9891529926118597
0.01,0.5,10,three_source_diverse,27722,121,72278,282,0.004364764447009595,0.003901602147264728,0.9960983978527352
0.01,0.5,11,single_source,28028,227,71972,522,0.008099043813329527,0.007252820541321625,0.9927471794586784
0.01,0.5,11,redundant_fail_closed,28028,115,71972,772,0.004103039817325531,0.010726393597510143,0.9892736064024898
0.01,0.5,11,correlation_aware,28028,0,71972,761,0.0,0.010573556383037848,0.9894264436169622
0.01,0.5,11,three_source_diverse,28028,115,71972,280,0.004103039817325531,0.00389040182293114,0.9961095981770689
0.01,0.5,12,single_source,28118,223,71882,540,0.007930862792517248,0.007512311844411675,0.9924876881555883
0.01,0.5,12,redundant_fail_closed,28118,110,71882,790,0.003912084785546625,0.010990233994602265,0.9890097660053977
0.01,0.5,12,correlation_aware,28118,3,71882,802,0.00010669322142399886,0.011157174257811413,0.9888428257421886
0.01,0.5,12,three_source_diverse,28118,112,71882,295,0.003983213599829291,0.004103948137224896,0.9958960518627751
0.01,0.5,13,single_source,28203,231,71797,538,0.008190618019359643,0.00749334930428848,0.9925066506957115
0.01,0.5,13,redundant_fail_closed,28203,108,71797,794,0.0038293798532071056,0.011058957895176679,0.9889410421048234
0.01,0.5,13,correlation_aware,28203,5,71797,839,0.00017728610431514379,0.011685725030293744,0.9883142749697063
0.01,0.5,13,three_source_diverse,28203,112,71797,303,0.003971208736659221,0.004220232043121579,0.9957797679568784
0.01,0.5,14,single_source,28034,252,71966,532,0.008989084682885068,0.007392379734874802,0.9926076202651252
0.01,0.5,14,redundant_fail_closed,28034,131,71966,820,0.004672897196261682,0.01139426951616041,0.9886057304838396
0.01,0.5,14,correlation_aware,28034,8,71966,796,0.0002853677677106371,0.011060778701053275,0.9889392212989467
0.01,0.5,14,three_source_diverse,28034,135,71966,273,0.004815581080117001,0.0037934580218436484,0.9962065419781564
0.01,0.5,15,single_source,28194,247,71806,538,0.008760729233170178,0.007492410105005153,0.9925075898949949
0.01,0.5,15,redundant_fail_closed,28194,136,71806,798,0.00482372135915443,0.011113277441996491,0.9888867225580035
0.01,0.5,15,correlation_aware,28194,4,71806,813,0.00014187415762218912,0.011322173634515221,0.9886778263654847
0.01,0.5,15,three_source_diverse,28194,140,71806,291,0.0049655955167766195,0.004052586134863382,0.9959474138651366
0.01,0.5,16,single_source,27819,216,72181,565,0.007764477515367195,0.007827544644712598,0.9921724553552874
0.01,0.5,16,redundant_fail_closed,27819,111,72181,822,0.003990078723174808,0.011388038403457973,0.9886119615965421
0.01,0.5,16,correlation_aware,27819,2,72181,843,7.189331032747403e-05,0.011678973691137557,0.9883210263088624
0.01,0.5,16,three_source_diverse,27819,113,72181,303,0.004061972033502283,0.004197780579376844,0.9958022194206232
0.01,0.5,17,single_source,28057,244,71943,533,0.00869658195815661,0.007408642953449259,0.9925913570465508
0.01,0.5,17,redundant_fail_closed,28057,134,71943,802,0.004775991731118794,0.011147714162600948,0.988852285837399
0.01,0.5,17,correlation_aware,28057,5,71943,823,0.00017820864668353708,0.011439611914988254,0.9885603880850118
0.01,0.5,17,three_source_diverse,28057,138,71943,277,0.004918558648465623,0.0038502703529182825,0.9961497296470817
0.01,0.5,18,single_source,28089,244,71911,563,0.008686674498914165,0.007829122109273964,0.992170877890726
0.01,0.5,18,redundant_fail_closed,28089,128,71911,834,0.004556943999430382,0.011597669341269068,0.988402330658731
0.01,0.5,18,correlation_aware,28089,2,71911,816,7.120224999109972e-05,0.011347359931025851,0.9886526400689741
