p,rho,seed,protocol,unsafe_total,unsafe_allowed,safe_total,safe_blocked,containment_failure_rate,false_block_rate,benign_success_rate
0.01,1.0,4,single_source,28119,211,71881,563,0.00750382303780362,0.007832389643994936,0.9921676103560051
0.01,1.0,4,redundant_fail_closed,28119,211,71881,563,0.00750382303780362,0.007832389643994936,0.9921676103560051
0.01,1.0,4,correlation_aware,28119,2,71881,1094,7.112628471851773e-05,0.015219599059556768,0.9847804009404433
0.01,1.0,4,three_source_diverse,28119,211,71881,563,0.00750382303780362,0.007832389643994936,0.9921676103560051
0.01,1.0,5,single_source,27927,215,72073,531,0.00769864289039281,0.007367530143049408,0.9926324698569506
0.01,1.0,5,redundant_fail_closed,27927,215,72073,531,0.00769864289039281,0.007367530143049408,0.9926324698569506
0.01,1.0,5,correlation_aware,27927,2,72073,1066,7.161528270132846e-05,0.014790559571545516,0.9852094404284545
0.01,1.0,5,three_source_diverse,27927,215,72073,531,0.00769864289039281,0.007367530143049408,0.9926324698569506
0.01,1.0,6,single_source,28032,206,71968,550,0.0073487442922374425,0.0076422854602045355,0.9923577145397955
0.01,1.0,6,redundant_fail_closed,28032,206,71968,550,0.0073487442922374425,0.0076422854602045355,0.9923577145397955
0.01,1.0,6,correlation_aware,28032,3,71968,1076,0.00010702054794520547,0.01495108937305469,0.9850489106269453
0.01,1.0,6,three_source_diverse,28032,206,71968,550,0.0073487442922374425,0.0076422854602045355,0.9923577145397955
0.01,1.0,7,single_source,28233,218,71767,579,0.007721460702015372,0.008067774882606212,0.9919322251173938
0.01,1.0,7,redundant_fail_closed,28233,218,71767,579,0.007721460702015372,0.008067774882606212,0.9919322251173938
0.01,1.0,7,correlation_aware,28233,3,71767,1114,0.00010625863351397301,0.015522454610057548,0.9844775453899425
0.01,1.0,7,three_source_diverse,28233,218,71767,579,0.007721460702015372,0.008067774882606212,0.9919322251173938
0.01,1.0,8,single_source,27970,227,72030,555,0.008115838398283875,0.0077051228654727195,0.9922948771345272
0.01,1.0,8,redundant_fail_closed,27970,227,72030,555,0.008115838398283875,0.0077051228654727195,0.9922948771345272
0.01,1.0,8,correlation_aware,27970,5,72030,1066,0.0001787629603146228,0.014799389143412467,0.9852006108565875
0.01,1.0,8,three_source_diverse,27970,227,72030,555,0.008115838398283875,0.0077051228654727195,0.9922948771345272
0.01,1.0,9,single_source,27967,253,72033,526,0.009046376086101477,0.007302208709896853,0.9926977912901032
0.01,1.0,9,redundant_fail_closed,27967,253,72033,526,0.009046376086101477,0.007302208709896853,0.9926977912901032
0.01,1.0,9,correlation_aware,27967,4,72033,1068,0.0001430257088711696,0.014826537836824789,0.9851734621631753
0.01,1.0,9,three_source_diverse,27967,253,72033,526,0.009046376086101477,0.007302208709896853,0.9926977912901032
0.01,1.0,10,single_source,27722,237,72278,541,0.00854916672678739,0.007484988516561056,0.9925150114834389
0.01,1.0,10,redundant_fail_closed,27722,237,72278,541,0.00854916672678739,0.007484988516561056,0.9925150114834389
0.01,1.0,10,correlation_aware,27722,4,72278,1050,0.00014428973378544116,0.014527242037687816,0.9854727579623122
0.01,1.0,10,three_source_diverse,27722,237,72278,541,0.00854916672678739,0.007484988516561056,0.9925150114834389
0.01,1.0,11,single_source,28028,225,71972,539,0.00802768659911517,0.007489023509142444,0.9925109764908575
0.01,1.0,11,redundant_fail_closed,28028,225,71972,539,0.00802768659911517,0.007489023509142444,0.9925109764908575
0.01,1.0,11,correlation_aware,28028,1,71972,1031,3.5678607107178535e-05,0.014325015283721447,0.9856749847162786
0.01,1.0,11,three_source_diverse,28028,225,71972,539,0.00802768659911517,0.007489023509142444,0.9925109764908575
0.01,1.0,12,single_source,28118,224,71882,550,0.007966427199658581,0.007651428730419298,0.9923485712695806
0.01,1.0,12,redundant_fail_closed,28118,224,71882,550,0.007966427199658581,0.007651428730419298,0.9923485712695806
0.01,1.0,12,correlation_aware,28118,2,71882,1064,7.112881428266591e-05,0.014802036671211152,0.9851979633287888
0.01,1.0,12,three_source_diverse,28118,224,71882,550,0.007966427199658581,0.007651428730419298,0.9923485712695806
0.01,1.0,13,single_source,28203,242,71797,567,0.008580647448852959,0.007897265902475034,0.9921027340975249
0.01,1.0,13,redundant_fail_closed,28203,242,71797,567,0.008580647448852959,0.007897265902475034,0.9921027340975249
0.01,1.0,13,correlation_aware,28203,2,71797,1108,7.091444172605751e-05,0.015432399682437984,0.984567600317562
0.01,1.0,13,three_source_diverse,28203,242,71797,567,0.008580647448852959,0.007897265902475034,0.9921027340975249
0.01,1.0,14,single_source,28034,233,71966,525,0.008311336234572305,0.007295111580468554,0.9927048884195314
0.01,1.0,14,redundant_fail_closed,28034,233,71966,525,0.008311336234572305,0.007295111580468554,0.9927048884195314
0.01,1.0,14,correlation_aware,28034,6,71966,1052,0.00021402582578297782,0.014618014062196037,0.985381985937804
0.01,1.0,14,three_source_diverse,28034,233,71966,525,0.008311336234572305,0.007295111580468554,0.9927048884195314
0.01,1.0,15,single_source,28194,238,71806,555,0.008441512378520253,0.007729159123193048,0.992270840876807
0.01,1.0,15,redundant_fail_closed,28194,238,71806,555,0.008441512378520253,0.007729159123193048,0.992270840876807
0.01,1.0,15,correlation_aware,28194,2,71806,1084,7.093707881109456e-05,0.015096231512686962,0.9849037684873131
0.01,1.0,15,three_source_diverse,28194,238,71806,555,0.008441512378520253,0.007729159123193048,0.992270840876807
0.01,1.0,16,single_source,27819,219,72181,569,0.007872317480858405,0.0078829608899849,0.9921170391100151
0.01,1.0,16,redundant_fail_closed,27819,219,72181,569,0.007872317480858405,0.0078829608899849,0.9921170391100151
0.01,1.0,16,correlation_aware,27819,0,72181,1108,0.0,0.015350299940427536,0.9846497000595724
0.01,1.0,16,three_source_diverse,27819,219,72181,569,0.007872317480858405,0.0078829608899849,0.9921170391100151
0.01,1.0,17,single_source,28057,252,71943,535,0.00898171579285027,0.007436442739390907,0.9925635572606091
0.01,1.0,17,redundant_fail_closed,28057,252,71943,535,0.00898171579285027,0.007436442739390907,0.9925635572606091
0.01,1.0,17,correlation_aware,28057,1,71943,1091,3.5641729336707415e-05,0.01516478323116912,0.9848352167688309
0.01,1.0,17,three_source_diverse,28057,252,71943,535,0.00898171579285027,0.007436442739390907,0.9925635572606091
0.01,1.0,18,single_source,28089,254,71911,559,0.009042685748869664,0.007773497795886582,0.9922265022041135
0.01,1.0,18,redundant_fail_closed,28089,254,71911,559,0.009042685748869664,0.007773497795886582,0.9922265022041135
0.01,1.0,18,correlation_aware,28089,1,71911,1076,3.560112499554986e-05,0.014962940301205657,0.9850370596987943
0.01,1.0,18,three_source_diverse,28089,254,71911,559,0.009042685748869664,0.007773497795886582,0.9922265022041135
0.01,1.0,19,single_source,28419,259,71581,531,0.009113621168936275,0.007418169626018077,0.992581830373982
0.01,1.0,19,redundant_fail_closed,28419,259,71581,531,0.009113621168936275,0.007418169626018077,0.992581830373982
0.01,1.0,19,correlation_aware,28419,8,71581,1033,0.00028150181216791585,0.014431203811067182,0.9855687961889328
0.01,1.0,19,three_source_diverse,28419,259,71581,531,0.009113621168936275,0.007418169626018077,0.992581830373982
0.01,1.0,20,single_source,27967,214,72033,509,0.007651875424607573,0.007066205766801327,0.9929337942331987
0.01,1.0,20,redundant_fail_closed,27967,214,72033,509,0.007651875424607573,0.007066205766801327,0.9929337942331987
0.01,1.0,20,correlation_aware,27967,1,72033,1032,3.57564272177924e-05,0.014326766898504852,0.9856732331014951
0.01,1.0,20,three_source_diverse,27967,214,72033,509,0.007651875424607573,0.007066205766801327,0.9929337942331987
0.01,1.0,21,single_source,27934,213,72066,597,0.007625116345671941,0.008284072933144617,0.9917159270668554
0.01,1.0,21,redundant_fail_closed,27934,213,72066,597,0.007625116345671941,0.008284072933144617,0.9917159270668554
0.01,1.0,21,correlation_aware,27934,2,72066,1092,7.159733657907926e-05,0.015152776621430355,0.9848472233785697
0.01,1.0,21,three_source_diverse,27934,213,72066,597,0.007625116345671941,0.008284072933144617,0.9917159270668554
0.01,1.0,22,single_source,28169,240,71831,572,0.00852000426000213,0.007963135693502805,0.9920368643064972
0.01,1.0,22,redundant_fail_closed,28169,240,71831,572,0.00852000426000213,0.007963135693502805,0.9920368643064972
0.01,1.0,22,correlation_aware,28169,0,71831,1088,0.0,0.015146663696732609,0.9848533363032674
0.01,1.0,22,three_source_diverse,28169,240,71831,572,0.00852000426000213,0.007963135693502805,0.9920368643064972
0.01,1.0,23,single_source,27881,268,72119,611,0.009612280764678455,0.008472108598288938,0.991527891401711
0.01,1.0,23,redundant_fail_closed,27881,268,72119,611,0.009612280764678455,0.008472108598288938,0.991527891401711
0.01,1.0,23,correlation_aware,27881,2,72119,1138,7.173343854237653e-05,0.01577947558895714,0.9842205244110429
0.01,1.0,23,three_source_diverse,27881,268,72119,611,0.009612280764678455,0.008472108598288938,0.991527891401711
0.01,1.0,24,single_source,28148,224,71852,528,0.007957936620719057,0.007348438456827924,0.992651561543172
0.01,1.0,24,redundant_fail_closed,28148,224,71852,528,0.007957936620719057,0.007348438456827924,0.992651561543172
0.01,1.0,24,correlation_aware,28148,2,71852,1052,7.105300554213443e-05,0.014641206925346546,0.9853587930746535
0.01,1.0,24,three_source_diverse,28148,224,71852,528,0.007957936620719057,0.007348438456827924,0.992651561543172
0.01,1.0,25,single_source,27894,207,72106,570,0.007420950742095075,0.007905028707735833,0.9920949712922642
0.01,1.0,25,redundant_fail_closed,27894,207,72106,570,0.007420950742095075,0.007905028707735833,0.9920949712922642
0.01,1.0,25,correlation_aware,27894,2,72106,1111,7.170000717000071e-05,0.015407871744376335,0.9845921282556237
0.01,1.0,25,three_source_diverse,27894,207,72106,570,0.007420950742095075,0.007905028707735833,0.9920949712922642
0.01,1.0,26,single_source,27928,252,72072,504,0.009023202520767689,0.006993006993006993,0.993006993006993
0.01,1.0,26,redundant_fail_closed,27928,252,72072,504,0.009023202520767689,0.006993006993006993,0.993006993006993
0.01,1.0,26,correlation_aware,27928,1,72072,1052,3.580635920939559e-05,0.014596514596514596,0.9854034854034854
0.01,1.0,26,three_source_diverse,27928,252,72072,504,0.009023202520767689,0.006993006993006993,0.993006993006993
0.01,1.0,27,single_source,27861,235,72139,515,0.0084347295502674,0.007138995550257142,0.9928610044497429
0.01,1.0,27,redundant_fail_closed,27861,235,72139,515,0.0084347295502674,0.007138995550257142,0.9928610044497429
0.01,1.0,27,correlation_aware,27861,2,72139,1043,7.178493234270127e-05,0.01445819875518097,0.985541801244819
0.01,1.0,27,three_source_diverse,27861,235,72139,515,0.0084347295502674,0.007138995550257142,0.9928610044497429
0.01,1.0,28,single_source,27972,237,72028,533,0.008472758472758473,0.0073999000388737714,0.9926000999611262
0.01,1.0,28,redundant_fail_closed,27972,237,72028,533,0.008472758472758473,0.0073999000388737714,0.9926000999611262
0.01,1.0,28,correlation_aware,27972,1,72028,1094,3.575003575003575e-05,0.015188537790859111,0.9848114622091408
0.01,1.0,28,three_source_diverse,27972,237,72028,533,0.008472758472758473,0.0073999000388737714,0.9926000999611262
0.01,1.0,29,single_source,28011,236,71989,548,0.008425261504408981,0.007612274097431552,0.9923877259025684
0.01,1.0,29,redundant_fail_closed,28011,236,71989,548,0.008425261504408981,0.007612274097431552,0.9923877259025684
0.01,1.0,29,correlation_aware,28011,2,71989,1114,7.140052122380494e-05,0.015474586395143703,0.9845254136048563
0.01,1.0,29,three_source_diverse,28011,236,71989,548,0.008425261504408981,0.007612274097431552,0.9923877259025684
0.05,0.0,0,single_source,28045,1148,71955,2612,0.04093421287216973,0.03630046556875825,0.9636995344312418
0.05,0.0,0,redundant_fail_closed,28045,55,71955,5009,0.001961133891959351,0.06961295253978181,0.9303870474602182
0.05,0.0,0,correlation_aware,28045,105,71955,2884,0.0037439828846496702,0.04008060593426447,0.9599193940657356
0.05,0.0,0,three_source_diverse,28045,157,71955,735,0.005598145837047602,0.010214717531790703,0.9897852824682093
0.05,0.0,1,single_source,28192,1128,71808,2606,0.040011350737797956,0.036291221033868094,0.9637087789661319
0.05,0.0,1,redundant_fail_closed,28192,40,71808,5054,0.0014188422247446084,0.07038213012477719,0.9296178698752228
0.05,0.0,1,correlation_aware,28192,102,71808,2970,0.0036180476730987513,0.04136029411764706,0.9586397058823529
0.05,0.0,1,three_source_diverse,28192,141,71808,751,0.0050014188422247445,0.010458444741532976,0.989541555258467
0.05,0.0,2,single_source,28230,1078,71770,2614,0.03818632660290471,0.03642190330221541,0.9635780966977846
0.05,0.0,2,redundant_fail_closed,28230,36,71770,4999,0.0012752391073326248,0.06965305838093912,0.9303469416190608
0.05,0.0,2,correlation_aware,28230,99,71770,2817,0.0035069075451647186,0.039250383168454785,0.9607496168315453
0.05,0.0,2,three_source_diverse,28230,134,71770,683,0.004746723343960326,0.009516511077051693,0.9904834889229484
0.05,0.0,3,single_source,28063,1064,71937,2552,0.037914691943127965,0.03547548549425192,0.964524514505748
0.05,0.0,3,redundant_fail_closed,28063,47,71937,5032,0.0016748031215479456,0.06995009522220832,0.9300499047777917
0.05,0.0,3,correlation_aware,28063,106,71937,2861,0.0037772155507251543,0.03977091065793681,0.9602290893420632
0.05,0.0,3,three_source_diverse,28063,149,71937,681,0.005309482236396679,0.009466616622878352,0.9905333833771216
0.05,0.0,4,single_source,28119,1063,71881,2541,0.037803620327892175,0.03535009251401622,0.9646499074859838
0.05,0.0,4,redundant_fail_closed,28119,57,71881,4852,0.002027099114477755,0.06750045213616951,0.9324995478638305
0.05,0.0,4,correlation_aware,28119,93,71881,2825,0.0033073722394110746,0.03930106704136003,0.96069893295864
0.05,0.0,4,three_source_diverse,28119,147,71881,713,0.005227781926811053,0.009919171964775115,0.9900808280352249
0.05,0.0,5,single_source,27927,1087,72073,2595,0.038922906148172016,0.03600516143354654,0.9639948385664534
0.05,0.0,5,redundant_fail_closed,27927,51,72073,4964,0.0018261897088838758,0.06887461323935454,0.9311253867606455
0.05,0.0,5,correlation_aware,27927,82,72073,2864,0.002936226590754467,0.03973748837983711,0.9602625116201629
0.05,0.0,5,three_source_diverse,27927,131,72073,753,0.004690801016937014,0.010447740485341252,0.9895522595146587
0.05,0.0,6,single_source,28032,1117,71968,2650,0.039847317351598174,0.03682192085371276,0.9631780791462873
0.05,0.0,6,redundant_fail_closed,28032,59,71968,5087,0.0021047374429223743,0.0706841929746554,0.9293158070253446
0.05,0.0,6,correlation_aware,28032,102,71968,2873,0.003638698630136986,0.039920520231213875,0.9600794797687862
0.05,0.0,6,three_source_diverse,28032,157,71968,753,0.00560074200913242,0.010462983548243664,0.9895370164517563
0.05,0.0,7,single_source,28233,1190,71767,2538,0.04214925796054263,0.035364443267797176,0.9646355567322028
0.05,0.0,7,redundant_fail_closed,28233,62,71767,4931,0.0021960117592887754,0.06870845931974305,0.931291540680257
0.05,0.0,7,correlation_aware,28233,102,71767,2745,0.0036127935394750822,0.03824877729318489,0.9617512227068151
0.05,0.0,7,three_source_diverse,28233,162,71767,662,0.0057379662097545425,0.009224295288921092,0.9907757047110789
0.05,0.0,8,single_source,27970,1127,72030,2664,0.04029317125491598,0.036984589754269055,0.9630154102457309
0.05,0.0,8,redundant_fail_closed,27970,49,72030,4988,0.0017518770110833035,0.06924892405941968,0.9307510759405804
0.05,0.0,8,correlation_aware,27970,84,72030,2926,0.0030032177332856634,0.040621963070942665,0.9593780369290573
0.05,0.0,8,three_source_diverse,27970,133,72030,723,0.004755094744368967,0.010037484381507705,0.9899625156184922
0.05,0.0,9,single_source,27967,1059,72033,2677,0.03786605642364215,0.03716352227451307,0.962836477725487
0.05,0.0,9,redundant_fail_closed,27967,57,72033,4999,0.002038116351414167,0.06939874779614899,0.930601252203851
0.05,0.0,9,correlation_aware,27967,87,72033,2902,0.0031108091679479385,0.040287090639012674,0.9597129093609873
0.05,0.0,9,three_source_diverse,27967,143,72033,737,0.005113169092144313,0.01023142170949426,0.9897685782905057
0.05,0.0,10,single_source,27722,1096,72278,2692,0.03953538705721088,0.0372450814909101,0.9627549185090899
0.05,0.0,10,redundant_fail_closed,27722,44,72278,5054,0.0015871870716398528,0.06992445834140402,0.930075541658596
0.05,0.0,10,correlation_aware,27722,109,72278,2889,0.0039318952456532715,0.03997066880655248,0.9600293311934476
0.05,0.0,10,three_source_diverse,27722,152,72278,745,0.0054830098838467645,0.010307424112454689,0.9896925758875453
0.05,0.0,11,single_source,28028,1121,71972,2613,0.03999571856714714,0.03630578558328239,0.9636942144167177
0.05,0.0,11,redundant_fail_closed,28028,58,71972,5017,0.002069359212216355,0.06970766409159117,0.9302923359084089
0.05,0.0,11,correlation_aware,28028,103,71972,2728,0.003674896532039389,0.0379036291891291,0.9620963708108708
0.05,0.0,11,three_source_diverse,28028,155,71972,672,0.005530184101612673,0.009336964375034736,0.9906630356249653
0.05,0.0,12,single_source,28118,1114,71882,2618,0.039618749555444914,0.03642080075679586,0.9635791992432041
0.05,0.0,12,redundant_fail_closed,28118,48,71882,4964,0.0017070915427839818,0.06905762221418436,0.9309423777858157
0.05,0.0,12,correlation_aware,28118,101,71882,2856,0.0035920051212746285,0.0397317826437773,0.9602682173562227
0.05,0.0,12,three_source_diverse,28118,145,71882,730,0.005156839035493278,0.010155532678556524,0.9898444673214435
0.05,0.0,13,single_source,28203,1095,71797,2664,0.03882565684501649,0.03710461439893032,0.9628953856010697
0.05,0.0,13,redundant_fail_closed,28203,49,71797,5063,0.001737403822288409,0.07051826677994902,0.929481733220051
0.05,0.0,13,correlation_aware,28203,97,71797,2859,0.003439350423713789,0.03982060531777094,0.960179394682229
0.05,0.0,13,three_source_diverse,28203,141,71797,737,0.004999468141687054,0.010265052857361729,0.9897349471426383
0.05,0.0,14,single_source,28034,1042,71966,2655,0.03716915174431048,0.03689242142122669,0.9631075785787733
0.05,0.0,14,redundant_fail_closed,28034,47,71966,5030,0.0016765356352999928,0.06989411666620349,0.9301058833337965
0.05,0.0,14,correlation_aware,28034,95,71966,2891,0.0033887422415638155,0.04017174776978017,0.9598282522302198
0.05,0.0,14,three_source_diverse,28034,139,71966,700,0.004958264963972319,0.00972681544062474,0.9902731845593753
0.05,0.0,15,single_source,28194,1131,71806,2500,0.04011491806767397,0.03481603208645517,0.9651839679135448
0.05,0.0,15,redundant_fail_closed,28194,48,71806,4948,0.0017024898914662695,0.06890789070551208,0.9310921092944879
0.05,0.0,15,correlation_aware,28194,93,71806,2764,0.003298574164715897,0.03849260507478484,0.9615073949252152
0.05,0.0,15,three_source_diverse,28194,141,71806,669,0.005001064056182166,0.009316770186335404,0.9906832298136646
0.05,0.0,16,single_source,27819,1064,72181,2546,0.038247241094216185,0.03527244011581995,0.96472755988418
0.05,0.0,16,redundant_fail_closed,27819,64,72181,4896,0.002300585930479169,0.06782948421329713,0.9321705157867028
0.05,0.0,16,correlation_aware,27819,111,72181,2816,0.003990078723174808,0.03901303667170031,0.9609869633282997
0.05,0.0,16,three_source_diverse,27819,167,72181,704,0.006003091412344081,0.009753259167925077,0.990246740832075
0.05,0.0,17,single_source,28057,1090,71943,2723,0.03884948497701109,0.03784940855955409,0.9621505914404459
0.05,0.0,17,redundant_fail_closed,28057,49,71943,5080,0.0017464447374986635,0.07061145629178656,0.9293885437082134
0.05,0.0,17,correlation_aware,28057,107,71943,2994,0.0038136650390276938,0.04161627955464743,0.9583837204453526
0.05,0.0,17,three_source_diverse,28057,151,71943,793,0.00538190112984282,0.011022615125863531,0.9889773848741364
0.05,0.0,18,single_source,28089,1173,71911,2681,0.04176011961977998,0.037282196047892534,0.9627178039521075
0.05,0.0,18,redundant_fail_closed,28089,59,71911,5049,0.0021004663747374417,0.07021178957322245,0.9297882104267775
0.05,0.0,18,correlation_aware,28089,111,71911,2900,0.003951724874506035,0.04032762720585168,0.9596723727941483
0.05,0.0,18,three_source_diverse,28089,166,71911,727,0.0059097867492612765,0.01010971895815661,0.9898902810418434
0.05,0.0,19,single_source,28419,1073,71581,2663,0.037756430557021714,0.037202609631047344,0.9627973903689526
0.05,0.0,19,redundant_fail_closed,28419,57,71581,5076,0.0020057004116964,0.07091267235718976,0.9290873276428102
0.05,0.0,19,correlation_aware,28419,119,71581,2824,0.004187339455997748,0.03945180983780612,0.9605481901621938
0.05,0.0,19,three_source_diverse,28419,171,71581,727,0.006017101235089201,0.010156326399463544,0.9898436736005365
0.05,0.0,20,single_source,27967,1120,72033,2623,0.04004719848392749,0.036413865867033164,0.9635861341329668
0.05,0.0,20,redundant_fail_closed,27967,41,72033,5065,0.0014660135159294883,0.0703149945164022,0.9296850054835978
0.05,0.0,20,correlation_aware,27967,93,72033,2891,0.003325347731254693,0.04013438285230381,0.9598656171476962
0.05,0.0,20,three_source_diverse,27967,130,72033,688,0.004648335538313012,0.009551177932336568,0.9904488220676634
0.05,0.0,21,single_source,27934,1111,72066,2642,0.039772320469678525,0.036660838675658426,0.9633391613243416
0.05,0.0,21,redundant_fail_closed,27934,58,72066,5000,0.0020763227607932984,0.06938084533621958,0.9306191546637804
0.05,0.0,21,correlation_aware,27934,114,72066,2825,0.004081048185007517,0.03920017761496406,0.9607998223850359
0.05,0.0,21,three_source_diverse,27934,168,72066,718,0.006014176272642658,0.009963089390281132,0.9900369106097189
0.05,0.0,22,single_source,28169,1123,71831,2630,0.039866519933259965,0.036613718311035624,0.9633862816889643
0.05,0.0,22,redundant_fail_closed,28169,50,71831,5033,0.0017750008875004437,0.07006724116328604,0.929932758836714
0.05,0.0,22,correlation_aware,28169,96,71831,2889,0.003408001704000852,0.040219403878548256,0.9597805961214517
0.05,0.0,22,three_source_diverse,28169,140,71831,730,0.0049700024850012426,0.010162743105344488,0.9898372568946555
0.05,0.0,23,single_source,27881,1174,72119,2629,0.04210752842437502,0.03645363912422524,0.9635463608757747
0.05,0.0,23,redundant_fail_closed,27881,58,72119,5036,0.0020802697177289193,0.0698290325711671,0.9301709674288329
0.05,0.0,23,correlation_aware,27881,86,72119,2749,0.0030845378573221907,0.03811755570654058,0.9618824442934594
0.05,0.0,23,three_source_diverse,27881,142,72119,657,0.0050930741365087335,0.009109943288176487,0.9908900567118235
0.05,0.0,24,single_source,28148,1160,71852,2603,0.04121074321443797,0.03622724489227857,0.9637727551077214
0.05,0.0,24,redundant_fail_closed,28148,61,71852,4941,0.0021671166690351,0.06876635305906585,0.9312336469409341
0.05,0.0,24,correlation_aware,28148,105,71852,2857,0.0037302827909620577,0.03976228914991928,0.9602377108500807
0.05,0.0,24,three_source_diverse,28148,159,71852,710,0.005648713940599687,0.009881422924901186,0.9901185770750988
0.05,0.0,25,single_source,27894,1099,72106,2626,0.039399153939915395,0.03641860594125316,0.9635813940587469
0.05,0.0,25,redundant_fail_closed,27894,62,72106,4867,0.002222700222270022,0.06749785038693035,0.9325021496130697
0.05,0.0,25,correlation_aware,27894,95,72106,2882,0.0034057503405750342,0.03996893462402574,0.9600310653759743
0.05,0.0,25,three_source_diverse,27894,156,72106,706,0.005592600559260056,0.009791140820458769,0.9902088591795413
0.05,0.0,26,single_source,27928,1068,72072,2648,0.03824119163563449,0.036741036741036744,0.9632589632589632
0.05,0.0,26,redundant_fail_closed,27928,52,72072,5022,0.0018619306788885707,0.06968031968031968,0.9303196803196803
0.05,0.0,26,correlation_aware,27928,84,72072,2908,0.0030077341735892296,0.04034854034854035,0.9596514596514596
0.05,0.0,26,three_source_diverse,27928,135,72072,752,0.004833858493268404,0.010434010434010434,0.9895659895659895
0.05,0.0,27,single_source,27861,1054,72139,2619,0.03783065934460357,0.03630491135169603,0.963695088648304
0.05,0.0,27,redundant_fail_closed,27861,47,72139,4986,0.0016869459100534799,0.06911656662831478,0.9308834333716852
0.05,0.0,27,correlation_aware,27861,99,72139,2858,0.0035533541509637128,0.03961795977210663,0.9603820402278934
0.05,0.0,27,three_source_diverse,27861,143,72139,693,0.005132622662503141,0.009606454206462525,0.9903935457935374
0.05,0.0,28,single_source,27972,1094,72028,2655,0.03911053911053911,0.036860665296829014,0.963139334703171
0.05,0.0,28,redundant_fail_closed,27972,55,72028,5033,0.001966251966251966,0.0698756039318043,0.9301243960681957
0.05,0.0,28,correlation_aware,27972,109,72028,2881,0.0038967538967538966,0.039998333981229525,0.9600016660187705
0.05,0.0,28,three_source_diverse,27972,164,72028,760,0.005863005863005863,0.010551452213028266,0.9894485477869718
0.05,0.0,29,single_source,28011,1164,71989,2522,0.04155510335225447,0.03503313006153718,0.9649668699384628
0.05,0.0,29,redundant_fail_closed,28011,54,71989,4927,0.0019278140730427332,0.06844101182125047,0.9315589881787495
0.05,0.0,29,correlation_aware,28011,103,71989,2866,0.003677126843025954,0.03981163788912195,0.9601883621108781
0.05,0.0,29,three_source_diverse,28011,156,71989,720,0.005569240655456785,0.010001528011223938,0.9899984719887761
0.05,0.25,0,single_source,28045,1102,71955,2672,0.03929399179889463,0.03713432006114933,0.9628656799388506
0.05,0.25,0,redundant_fail_closed,28045,288,71955,4476,0.010269210197896238,0.062205545132374404,0.9377944548676256
0.05,0.25,0,correlation_aware,28045,92,71955,3433,0.003280442146550187,0.04771037453964283,0.9522896254603572
0.05,0.25,0,three_source_diverse,28045,361,71955,1249,0.012872169727224105,0.017358071016607603,0.9826419289833924
0.05,0.25,1,single_source,28192,1155,71808,2615,0.04096906923950057,0.03641655525846702,0.963583444741533
0.05,0.25,1,redundant_fail_closed,28192,321,71808,4441,0.011386208853575483,0.06184547682709447,0.9381545231729055
0.05,0.25,1,correlation_aware,28192,84,71808,3504,0.0029795686719636776,0.04879679144385027,0.9512032085561497
0.05,0.25,1,three_source_diverse,28192,391,71808,1231,0.013869182746878548,0.017142936720142603,0.9828570632798574
0.05,0.25,2,single_source,28230,1082,71770,2624,0.03832801983705278,0.036561237285774,0.963438762714226
0.05,0.25,2,redundant_fail_closed,28230,274,71770,4417,0.009705986539142756,0.061543820537829176,0.9384561794621709
0.05,0.25,2,correlation_aware,28230,89,71770,3324,0.0031526744597945447,0.046314616134875294,0.9536853838651247
0.05,0.25,2,three_source_diverse,28230,349,71770,1148,0.012362734679419058,0.015995541312526125,0.9840044586874739
0.05,0.25,3,single_source,28063,1067,71937,2559,0.03802159427003528,0.03557279286041953,0.9644272071395805
0.05,0.25,3,redundant_fail_closed,28063,293,71937,4441,0.010440793927947832,0.06173457330719936,0.9382654266928007
0.05,0.25,3,correlation_aware,28063,94,71937,3335,0.0033496062430958913,0.046360009452715574,0.9536399905472844
0.05,0.25,3,three_source_diverse,28063,374,71937,1116,0.013327156754445355,0.015513574377580382,0.9844864256224196
0.05,0.25,4,single_source,28119,1042,71881,2528,0.037056794338347736,0.03516923804621527,0.9648307619537847
0.05,0.25,4,redundant_fail_closed,28119,303,71881,4289,0.010775632134855436,0.059668062492174566,0.9403319375078254
0.05,0.25,4,correlation_aware,28119,96,71881,3314,0.003414061666488851,0.046103977407103404,0.9538960225928966
0.05,0.25,4,three_source_diverse,28119,376,71881,1145,0.013371741527081333,0.01592910504862203,0.984070894951378
0.05,0.25,5,single_source,27927,1080,72073,2597,0.03867225265871737,0.036032911076269894,0.9639670889237301
0.05,0.25,5,redundant_fail_closed,27927,287,72073,4410,0.010276793067640634,0.06118796220498661,0.9388120377950134
0.05,0.25,5,correlation_aware,27927,79,72073,3388,0.0028288036667024744,0.04700789477335479,0.9529921052266452
0.05,0.25,5,three_source_diverse,27927,350,72073,1210,0.01253267447273248,0.016788533847626713,0.9832114661523733
0.05,0.25,6,single_source,28032,1084,71968,2635,0.03867009132420091,0.03661349488661628,0.9633865051133838
0.05,0.25,6,redundant_fail_closed,28032,273,71968,4458,0.0097388698630137,0.061944197421076035,0.938055802578924
0.05,0.25,6,correlation_aware,28032,96,71968,3389,0.003424657534246575,0.04709037349933304,0.9529096265006669
0.05,0.25,6,three_source_diverse,28032,349,71968,1199,0.012450057077625571,0.016660182303245886,0.9833398176967542
