p,rho,protocol,metric,mean,ci95_halfwidth,n_seeds
0.05,0.0,three_source_diverse,false_block_rate,0.009972760965984572,0.0001609952160900194,30
0.05,0.0,three_source_diverse,benign_success_rate,0.9900272390340153,0.00016099521609002084,30
0.05,0.25,correlation_aware,containment_failure_rate,0.0032165016795949594,0.00010075160865739473,30
0.05,0.25,correlation_aware,false_block_rate,0.04699992818745702,0.00032395597370043637,30
0.05,0.25,correlation_aware,benign_success_rate,0.9530000718125429,0.0003239559737004346,30
0.05,0.25,redundant_fail_closed,containment_failure_rate,0.010927240482538365,0.00024363309544471739,30
0.05,0.25,redundant_fail_closed,false_block_rate,0.06139627938048611,0.0002938709615671451,30
0.05,0.25,redundant_fail_closed,benign_success_rate,0.9386037206195138,0.0002938709615671434,30
0.05,0.25,single_source,containment_failure_rate,0.03962202799065499,0.0004557115341038647,30
0.05,0.25,single_source,false_block_rate,0.036480869755099087,0.0002438132869926539,30
0.05,0.25,single_source,benign_success_rate,0.9635191302449011,0.0002438132869926531,30
0.05,0.25,three_source_diverse,containment_failure_rate,0.013601757612048567,0.0002702879962427604,30
0.05,0.25,three_source_diverse,false_block_rate,0.016465000593466696,0.00020371141372029812,30
0.05,0.25,three_source_diverse,benign_success_rate,0.9835349994065333,0.00020371141372029658,30
0.05,0.5,correlation_aware,containment_failure_rate,0.002793279470200322,0.00011187382853991551,30
0.05,0.5,correlation_aware,false_block_rate,0.05432592861904168,0.00033812702570658646,30
0.05,0.5,correlation_aware,benign_success_rate,0.9456740713809583,0.0003381270257065886,30
0.05,0.5,redundant_fail_closed,containment_failure_rate,0.020142641008368784,0.000334903140384273,30
0.05,0.5,redundant_fail_closed,false_block_rate,0.05310351353784929,0.00032131650812691764,30
0.05,0.5,redundant_fail_closed,benign_success_rate,0.9468964864621507,0.0003213165081269185,30
0.05,0.5,single_source,containment_failure_rate,0.03965117672459839,0.0005046746756242677,30
0.05,0.5,single_source,false_block_rate,0.03644542422935119,0.00027251814771062533,30
0.05,0.5,single_source,benign_success_rate,0.9635545757706488,0.0002725181477106238,30
0.05,0.5,three_source_diverse,containment_failure_rate,0.021973103881862726,0.0003576357557610891,30
0.05,0.5,three_source_diverse,false_block_rate,0.022950329512621277,0.000219432215552927,30
0.05,0.5,three_source_diverse,benign_success_rate,0.9770496704873788,0.00021943221555293085,30
0.05,0.75,correlation_aware,containment_failure_rate,0.002339327264682972,8.195340780854234e-05,30
0.05,0.75,correlation_aware,false_block_rate,0.06188967459492133,0.0003180500338842674,30
0.05,0.75,correlation_aware,benign_success_rate,0.9381103254050787,0.00031805003388426655,30
0.05,0.75,redundant_fail_closed,containment_failure_rate,0.029576081270777075,0.0004042646220703451,30
0.05,0.75,redundant_fail_closed,false_block_rate,0.044882213975875926,0.0003158495197208098,30
0.05,0.75,redundant_fail_closed,benign_success_rate,0.955117786024124,0.0003158495197208122,30
0.05,0.75,single_source,containment_failure_rate,0.039515544732710024,0.0004844865321899423,30
0.05,0.75,single_source,false_block_rate,0.03646884963125785,0.0002818970697775534,30
0.05,0.75,single_source,benign_success_rate,0.9635311503687423,0.00028189706977755816,30
0.05,0.75,three_source_diverse,containment_failure_rate,0.03049386905887915,0.000408364717319654,30
0.05,0.75,three_source_diverse,false_block_rate,0.029708961916072467,0.00021169867407627092,30
0.05,0.75,three_source_diverse,benign_success_rate,0.9702910380839274,0.00021169867407626986,30
0.05,1.0,correlation_aware,containment_failure_rate,0.001888616531257128,0.00010034090145179599,30
0.05,1.0,correlation_aware,false_block_rate,0.06943277871260439,0.0003238944747974849,30
0.05,1.0,correlation_aware,benign_success_rate,0.9305672212873953,0.00032389447479748434,30
0.05,1.0,redundant_fail_closed,containment_failure_rate,0.039554880135031875,0.0004149315124217309,30
0.05,1.0,redundant_fail_closed,false_block_rate,0.03645436789479039,0.00021790173958917598,30
0.05,1.0,redundant_fail_closed,benign_success_rate,0.9635456321052096,0.0002179017395891729,30
0.05,1.0,single_source,containment_failure_rate,0.039554880135031875,0.0004149315124217309,30
0.05,1.0,single_source,false_block_rate,0.03645436789479039,0.00021790173958917598,30
0.05,1.0,single_source,benign_success_rate,0.9635456321052096,0.0002179017395891729,30
0.05,1.0,three_source_diverse,containment_failure_rate,0.039554880135031875,0.0004149315124217309,30
0.05,1.0,three_source_diverse,false_block_rate,0.03645436789479039,0.00021790173958917598,30
0.05,1.0,three_source_diverse,benign_success_rate,0.9635456321052096,0.0002179017395891729,30
0.1,0.0,correlation_aware,containment_failure_rate,0.012717567770859122,0.00021574850374007215,30
0.1,0.0,correlation_aware,false_block_rate,0.08222483561851988,0.000398176599932889,30
0.1,0.0,correlation_aware,benign_success_rate,0.9177751643814801,0.0003981765999328892,30
0.1,0.0,redundant_fail_closed,containment_failure_rate,0.006653722560125395,0.00014860415983650104,30
0.1,0.0,redundant_fail_closed,false_block_rate,0.12863670435886357,0.0004298909955303563,30
0.1,0.0,redundant_fail_closed,benign_success_rate,0.8713632956411365,0.00042989099553035405,30
0.1,0.0,single_source,containment_failure_rate,0.0757593755109812,0.0007224153260801239,30
0.1,0.0,single_source,false_block_rate,0.07105506748899085,0.0003779337697839374,30
0.1,0.0,single_source,benign_success_rate,0.9289449325110092,0.00037793376978393896,30
0.1,0.0,three_source_diverse,containment_failure_rate,0.018746208370877673,0.00023189710466794608,30
0.1,0.0,three_source_diverse,false_block_rate,0.03543896508744708,0.0002807372306887144,30
0.1,0.0,three_source_diverse,benign_success_rate,0.9645610349125527,0.0002807372306887146,30
0.1,0.25,correlation_aware,containment_failure_rate,0.011318019351116586,0.00023873391361696865,30
0.1,0.25,correlation_aware,false_block_rate,0.09344775362612721,0.00040648803164518093,30
0.1,0.25,correlation_aware,benign_success_rate,0.9065522463738728,0.00040648803164517833,30
0.1,0.25,redundant_fail_closed,containment_failure_rate,0.022425661489743193,0.0003770719247344006,30
0.1,0.25,redundant_fail_closed,false_block_rate,0.11484912865279188,0.00034169779955932334,30
0.1,0.25,redundant_fail_closed,benign_success_rate,0.8851508713472079,0.00034169779955932556,30
0.1,0.25,single_source,containment_failure_rate,0.07576512662597103,0.0008117103721031187,30
0.1,0.25,single_source,false_block_rate,0.07113373768205415,0.0003228947927093828,30
0.1,0.25,single_source,benign_success_rate,0.9288662623179459,0.0003228947927093843,30
0.1,0.25,three_source_diverse,containment_failure_rate,0.031725874827776626,0.00040499662366738143,30
0.1,0.25,three_source_diverse,false_block_rate,0.044049722047056615,0.000274020284847593,30
0.1,0.25,three_source_diverse,benign_success_rate,0.9559502779529434,0.00027402028484759504,30
0.1,0.5,correlation_aware,containment_failure_rate,0.009869192273474178,0.00022502293142670962,30
0.1,0.5,correlation_aware,false_block_rate,0.10485553194577514,0.0004592777697515222,30
0.1,0.5,correlation_aware,benign_success_rate,0.895144468054225,0.00045927776975152366,30
0.1,0.5,redundant_fail_closed,containment_failure_rate,0.03942242860279712,0.0004993923220865395,30
0.1,0.5,redundant_fail_closed,false_block_rate,0.10054784336240448,0.0003378947865967675,30
0.1,0.5,redundant_fail_closed,benign_success_rate,0.8994521566375955,0.0003378947865967682,30
0.1,0.5,single_source,containment_failure_rate,0.07584371504151344,0.0008205161157430359,30
0.1,0.5,single_source,false_block_rate,0.07107934230871392,0.00032572613806667585,30
0.1,0.5,single_source,benign_success_rate,0.9289206576912862,0.0003257261380666784,30
0.1,0.5,three_source_diverse,containment_failure_rate,0.045802180854696485,0.0005433093088401204,30
0.1,0.5,three_source_diverse,false_block_rate,0.05279093318467947,0.0003070579049588943,30
0.1,0.5,three_source_diverse,benign_success_rate,0.9472090668153206,0.0003070579049588904,30
0.1,0.75,correlation_aware,containment_failure_rate,0.00829201732036294,0.00019621523936469554,30
0.1,0.75,correlation_aware,false_block_rate,0.11669882915077731,0.00044938670698049213,30
0.1,0.75,correlation_aware,benign_success_rate,0.8833011708492227,0.0004493867069804918,30
0.1,0.75,redundant_fail_closed,containment_failure_rate,0.056892005235126185,0.0005681880853396556,30
0.1,0.75,redundant_fail_closed,false_block_rate,0.08612071362698784,0.000371354909747768,30
0.1,0.75,redundant_fail_closed,benign_success_rate,0.9138792863730122,0.0003713549097477654,30
0.1,0.75,single_source,containment_failure_rate,0.07558078900561353,0.0006963050351606658,30
0.1,0.75,single_source,false_block_rate,0.0711041207251705,0.0003425869674510585,30
0.1,0.75,single_source,benign_success_rate,0.9288958792748296,0.0003425869674510615,30
0.1,0.75,three_source_diverse,containment_failure_rate,0.060133985160979106,0.0006064404101512886,30
0.1,0.75,three_source_diverse,false_block_rate,0.06187308119177918,0.00031403874574902546,30
0.1,0.75,three_source_diverse,benign_success_rate,0.9381269188082209,0.00031403874574903034,30
0.1,1.0,correlation_aware,containment_failure_rate,0.0067197961600273,0.00019554507467856573,30
0.1,1.0,correlation_aware,false_block_rate,0.1287388646546181,0.00044676977169309594,30
0.1,1.0,correlation_aware,benign_success_rate,0.8712611353453816,0.0004467697716930935,30
0.1,1.0,redundant_fail_closed,containment_failure_rate,0.0756970797363224,0.0006004189959784374,30
