p,rho,seed,empirical_error_correlation,source1_marginal_error,source2_marginal_error,source3_marginal_error
0.01,0.75,1,0.7523948437091853,0.01032,0.01037,0.01034
0.01,0.75,2,0.7462960070486617,0.01006,0.0095,0.00939
0.01,0.75,3,0.721084626007564,0.00953,0.00951,0.01009
0.01,0.75,4,0.7346250086115899,0.0098,0.00976,0.01001
0.01,0.75,5,0.7527404375067466,0.01003,0.01007,0.00981
0.01,0.75,6,0.7463692334159782,0.00978,0.00985,0.00959
0.01,0.75,7,0.7556027098619782,0.01028,0.01035,0.01023
0.01,0.75,8,0.7542001322135369,0.01002,0.00965,0.00993
0.01,0.75,9,0.7675870820243498,0.01078,0.01075,0.00983
0.01,0.75,10,0.7610403858665652,0.00993,0.00985,0.01028
0.01,0.75,11,0.7367004519175455,0.00975,0.01,0.00997
0.01,0.75,12,0.7584553219590291,0.01012,0.01065,0.01002
0.01,0.75,13,0.7323183933217556,0.01064,0.01058,0.00988
0.01,0.75,14,0.7403643524125106,0.01016,0.00987,0.01027
0.01,0.75,15,0.7706349169122738,0.01041,0.01011,0.00964
0.01,0.75,16,0.7632568250391183,0.01103,0.01037,0.01081
0.01,0.75,17,0.7547052896694982,0.01016,0.01039,0.00978
0.01,0.75,18,0.7533873693201505,0.01085,0.01071,0.01014
0.01,0.75,19,0.7593189503653842,0.01003,0.01024,0.00965
0.01,0.75,20,0.7628249091861219,0.01004,0.0098,0.00953
0.01,0.75,21,0.7527048078161687,0.00996,0.00972,0.00988
0.01,0.75,22,0.7486593505305095,0.01068,0.01051,0.01025
0.01,0.75,23,0.7606941869374723,0.01069,0.01064,0.01027
0.01,0.75,24,0.7521143642619367,0.01005,0.01004,0.00972
0.01,0.75,25,0.7392835144196876,0.00983,0.00961,0.01056
0.01,0.75,26,0.7459787817684137,0.01042,0.01018,0.0099
0.01,0.75,27,0.7353366885072512,0.01002,0.01061,0.01023
0.01,0.75,28,0.7432977711574289,0.00993,0.00994,0.01018
0.01,0.75,29,0.7341810872465446,0.0102,0.01021,0.01018
0.01,1.0,0,1.0,0.01002,0.01002,0.01025
0.01,1.0,1,1.0,0.01053,0.01053,0.01034
0.01,1.0,2,1.0,0.00972,0.00972,0.00939
0.01,1.0,3,0.9999999999999999,0.00936,0.00936,0.01009
0.01,1.0,4,1.0,0.00993,0.00993,0.01001
0.01,1.0,5,0.9999999999999999,0.00994,0.00994,0.00981
0.01,1.0,6,1.0,0.00993,0.00993,0.00959
0.01,1.0,7,1.0,0.01012,0.01012,0.01023
0.01,1.0,8,1.0,0.00989,0.00989,0.00993
0.01,1.0,9,1.0,0.01073,0.01073,0.00983
0.01,1.0,10,1.0,0.00997,0.00997,0.01028
0.01,1.0,11,1.0,0.01001,0.01001,0.00997
0.01,1.0,12,0.9999999999999999,0.01011,0.01011,0.01002
0.01,1.0,13,1.0,0.01032,0.01032,0.00988
0.01,1.0,14,1.0,0.0098,0.0098,0.01027
0.01,1.0,15,1.0,0.01021,0.01021,0.00964
0.01,1.0,16,1.0,0.01047,0.01047,0.01081
0.01,1.0,17,0.9999999999999999,0.01027,0.01027,0.00978
0.01,1.0,18,1.0,0.01065,0.01065,0.01014
0.01,1.0,19,1.0,0.01022,0.01022,0.00965
0.01,1.0,20,1.0,0.01012,0.01012,0.00953
0.01,1.0,21,1.0,0.00969,0.00969,0.00988
0.01,1.0,22,1.0,0.01022,0.01022,0.01025
0.01,1.0,23,0.9999999999999999,0.01053,0.01053,0.01027
0.01,1.0,24,1.0,0.01024,0.01024,0.00972
0.01,1.0,25,0.9999999999999999,0.00978,0.00978,0.01056
0.01,1.0,26,1.0,0.01006,0.01006,0.0099
0.01,1.0,27,1.0,0.01011,0.01011,0.01023
0.01,1.0,28,0.9999999999999999,0.01011,0.01011,0.01018
0.01,1.0,29,1.0,0.00984,0.00984,0.01018
0.05,0.0,0,0.0018200132247185765,0.04994,0.05013,0.05121
