p,rho,seed,empirical_error_correlation,source1_marginal_error,source2_marginal_error,source3_marginal_error
0.1,0.75,17,0.7521825659559235,0.10075,0.10088,0.10182
0.1,0.75,18,0.7561680932177497,0.10136,0.10126,0.09981
0.1,0.75,19,0.7494711272938799,0.10031,0.09971,0.09954
0.1,0.75,20,0.7446593821134391,0.09891,0.09903,0.09937
0.1,0.75,21,0.7464807299340894,0.09974,0.09975,0.09952
0.1,0.75,22,0.751145334819961,0.10025,0.0987,0.09998
0.1,0.75,23,0.742783305197506,0.1004,0.10048,0.09882
0.1,0.75,24,0.7456392590873127,0.09982,0.09991,0.09885
0.1,0.75,25,0.7492372580767197,0.09857,0.09915,0.10147
0.1,0.75,26,0.751563172681224,0.09939,0.09936,0.10069
0.1,0.75,27,0.7498930008250752,0.10105,0.1019,0.10238
0.1,0.75,28,0.7508878494207835,0.10042,0.10118,0.09896
0.1,0.75,29,0.7447024307754472,0.10037,0.1002,0.09856
0.1,1.0,0,1.0,0.09948,0.09948,0.10339
0.1,1.0,1,1.0,0.10065,0.10065,0.10099
0.1,1.0,2,0.9999999999999998,0.0992,0.0992,0.09979
0.1,1.0,3,0.9999999999999998,0.09844,0.09844,0.10051
0.1,1.0,4,1.0,0.10041,0.10041,0.097
0.1,1.0,5,1.0,0.09775,0.09775,0.10059
0.1,1.0,6,1.0,0.09862,0.09862,0.10052
0.1,1.0,7,1.0,0.09999,0.09999,0.09908
0.1,1.0,8,0.9999999999999998,0.09984,0.09984,0.1003
0.1,1.0,9,1.0,0.09951,0.09951,0.09934
0.1,1.0,10,1.0,0.09863,0.09863,0.10084
0.1,1.0,11,0.9999999999999998,0.10049,0.10049,0.10057
0.1,1.0,12,1.0,0.09992,0.09992,0.09892
0.1,1.0,13,0.9999999999999998,0.09927,0.09927,0.09952
0.1,1.0,14,1.0,0.10037,0.10037,0.10072
0.1,1.0,15,1.0,0.09927,0.09927,0.09941
0.1,1.0,16,0.9999999999999998,0.09996,0.09996,0.10029
0.1,1.0,17,0.9999999999999998,0.10082,0.10082,0.10182
0.1,1.0,18,0.9999999999999998,0.10179,0.10179,0.09981
0.1,1.0,19,1.0,0.10002,0.10002,0.09954
0.1,1.0,20,1.0,0.09863,0.09863,0.09937
0.1,1.0,21,0.9999999999999998,0.09941,0.09941,0.09952
0.1,1.0,22,1.0,0.09942,0.09942,0.09998
0.1,1.0,23,0.9999999999999998,0.10018,0.10018,0.09882
0.1,1.0,24,1.0,0.10054,0.10054,0.09885
0.1,1.0,25,1.0,0.09879,0.09879,0.10147
0.1,1.0,26,1.0,0.09934,0.09934,0.10069
0.1,1.0,27,1.0,0.10128,0.10128,0.10238
0.1,1.0,28,1.0,0.10225,0.10225,0.09896
0.1,1.0,29,0.9999999999999998,0.09961,0.09961,0.09856
0.2,0.0,0,0.00043339067072963825,0.19933,0.19862,0.20244
0.2,0.0,1,-0.0020717095882270857,0.1994,0.1991,0.20049
0.2,0.0,2,0.00043401321570814077,0.201,0.19861,0.19974
0.2,0.0,3,0.0069611215300741285,0.20025,0.20245,0.20027
0.2,0.0,4,0.004172379700656226,0.19872,0.19905,0.19635
0.2,0.0,5,0.003543655718185349,0.19834,0.19868,0.19982
0.2,0.0,6,0.0010380364141376183,0.1997,0.20072,0.19831
0.2,0.0,7,-0.0003246882701401959,0.20017,0.19954,0.19868
0.2,0.0,8,0.0007997349000198905,0.19959,0.19917,0.1999
0.2,0.0,9,0.0022630288014288628,0.20079,0.20094,0.20022
0.2,0.0,10,0.00276588311369246,0.2013,0.20018,0.20077
0.2,0.0,11,-0.0018972017401588243,0.2012,0.20037,0.20142
0.2,0.0,12,0.000763490897729717,0.1996,0.20039,0.198
0.2,0.0,13,0.004562976706091531,0.1985,0.20011,0.20049
0.2,0.0,14,-0.0021217761727330715,0.19909,0.20071,0.20221
0.2,0.0,15,-0.0031847653947888652,0.19941,0.20195,0.19956
0.2,0.0,16,0.0017020448276737093,0.19844,0.19955,0.20026
0.2,0.0,17,0.0012688832473665408,0.19858,0.20046,0.20205
0.2,0.0,18,0.002055728872851701,0.19965,0.19741,0.19992
0.2,0.0,19,0.0033731232479606078,0.20067,0.20216,0.20062
0.2,0.0,20,-0.0013652627070965902,0.19875,0.20125,0.19708
0.2,0.0,21,-4.249579122169357e-05,0.1992,0.20149,0.19954
0.2,0.0,22,-0.0008242330563856542,0.20042,0.19989,0.19851
0.2,0.0,23,0.0018632871775381204,0.20055,0.19961,0.19969
0.2,0.0,24,0.0020021874527674888,0.19941,0.20054,0.19803
0.2,0.0,25,3.829555648157936e-05,0.19909,0.20013,0.19981
0.2,0.0,26,0.0003842789435528686,0.19901,0.19928,0.19896
0.2,0.0,27,0.0029652201039837346,0.19939,0.20039,0.20213
0.2,0.0,28,-0.006011504308209231,0.19838,0.20032,0.19912
0.2,0.0,29,-0.0013269914382117917,0.20202,0.20069,0.19802
0.2,0.25,0,0.2529792070193345,0.19807,0.19933,0.20244
0.2,0.25,1,0.25384349760406294,0.20057,0.19945,0.20049
0.2,0.25,2,0.24906522034133066,0.20083,0.19881,0.19974
0.2,0.25,3,0.2520189271578948,0.19818,0.20018,0.20027
0.2,0.25,4,0.2559286272002716,0.19911,0.19934,0.19635
0.2,0.25,5,0.2505266647078159,0.19866,0.19936,0.19982
0.2,0.25,6,0.25184444642334514,0.19886,0.2008,0.19831
0.2,0.25,7,0.25401816953762224,0.20155,0.20097,0.19868
0.2,0.25,8,0.2542935218748332,0.19978,0.20034,0.1999
0.2,0.25,9,0.24956877699788355,0.20006,0.1999,0.20022
0.2,0.25,10,0.25388166735811957,0.20179,0.20099,0.20077
0.2,0.25,11,0.2470369986544975,0.20031,0.20058,0.20142
0.2,0.25,12,0.2520250607315315,0.19902,0.19995,0.198
0.2,0.25,13,0.25453720379687667,0.19882,0.20062,0.20049
0.2,0.25,14,0.24528918697057142,0.19936,0.20139,0.20221
0.2,0.25,15,0.24784877443465475,0.20028,0.20112,0.19956
0.2,0.25,16,0.2542921412689248,0.19925,0.20022,0.20026
0.2,0.25,17,0.25164426474419455,0.19894,0.20069,0.20205
0.2,0.25,18,0.2550488692573517,0.20137,0.19872,0.19992
0.2,0.25,19,0.2566060989977538,0.20197,0.20308,0.20062
0.2,0.25,20,0.2500159823174478,0.20098,0.20177,0.19708
0.2,0.25,21,0.2532054988835848,0.20012,0.20161,0.19954
0.2,0.25,22,0.25167809794327933,0.20032,0.19936,0.19851
0.2,0.25,23,0.24772339229758983,0.20061,0.19988,0.19969
0.2,0.25,24,0.25128756383907475,0.19884,0.20005,0.19803
0.2,0.25,25,0.2509479578920647,0.19959,0.19895,0.19981
0.2,0.25,26,0.25316506685691187,0.19925,0.19953,0.19896
0.2,0.25,27,0.2527751828301256,0.19936,0.20121,0.20213
0.2,0.25,28,0.25082266670028003,0.19995,0.20139,0.19912
0.2,0.25,29,0.24442132738291839,0.20055,0.19968,0.19802
0.2,0.5,0,0.4977953722716461,0.19869,0.19894,0.20244
0.2,0.5,1,0.5014336337317455,0.20107,0.19874,0.20049
0.2,0.5,2,0.4986042712693941,0.2003,0.19971,0.19974
0.2,0.5,3,0.4990503672037823,0.19836,0.19864,0.20027
0.2,0.5,4,0.5023347262424108,0.19998,0.1987,0.19635
0.2,0.5,5,0.5019758474968324,0.19844,0.19843,0.19982
0.2,0.5,6,0.5004272371660622,0.19761,0.19957,0.19831
0.2,0.5,7,0.5012391760829574,0.1993,0.20045,0.19868
0.2,0.5,8,0.5010523810536233,0.19837,0.19958,0.1999
0.2,0.5,9,0.4979235927890602,0.20115,0.20123,0.20022
0.2,0.5,10,0.5013849921725533,0.20058,0.20107,0.20077
0.2,0.5,11,0.49836090054939486,0.2002,0.20035,0.20142
0.2,0.5,12,0.5025872737835454,0.19987,0.20029,0.198
0.2,0.5,13,0.5028121427693188,0.20026,0.20128,0.20049
0.2,0.5,14,0.49869649352757045,0.20202,0.20346,0.20221
0.2,0.5,15,0.49811403114894337,0.20074,0.20184,0.19956
0.2,0.5,16,0.5033949630212116,0.19963,0.19962,0.20026
0.2,0.5,17,0.503295830471443,0.20087,0.20133,0.20205
0.2,0.5,18,0.504011925535674,0.20182,0.20051,0.19992
0.2,0.5,19,0.49666208678941715,0.20009,0.20104,0.20062
0.2,0.5,20,0.497198065198939,0.19968,0.20089,0.19708
0.2,0.5,21,0.4978636611225324,0.20083,0.20052,0.19954
0.2,0.5,22,0.49714320905091,0.19995,0.19884,0.19851
0.2,0.5,23,0.4929836066177895,0.20012,0.20052,0.19969
0.2,0.5,24,0.4992474794301049,0.20027,0.20036,0.19803
0.2,0.5,25,0.49839012433708574,0.20005,0.1996,0.19981
0.2,0.5,26,0.5040867603439487,0.20003,0.19939,0.19896
0.2,0.5,27,0.4993135681853148,0.20076,0.20164,0.20213
0.2,0.5,28,0.5005705546467113,0.19982,0.20072,0.19912
0.2,0.5,29,0.490086789106661,0.19991,0.19818,0.19802
0.2,0.75,0,0.7486205453902419,0.19843,0.19865,0.20244
0.2,0.75,1,0.7483150888928289,0.19993,0.19847,0.20049
0.2,0.75,2,0.7501999846433037,0.19976,0.19913,0.19974
0.2,0.75,3,0.748697374683222,0.1977,0.1973,0.20027
0.2,0.75,4,0.7519953378222125,0.19937,0.19833,0.19635
0.2,0.75,5,0.7513481670249991,0.19853,0.19887,0.19982
0.2,0.75,6,0.751280995275033,0.19797,0.19842,0.19831
0.2,0.75,7,0.752276081598758,0.20024,0.20022,0.19868
0.2,0.75,8,0.7524094705451553,0.20042,0.20053,0.1999
0.2,0.75,9,0.7480233029081228,0.19992,0.20085,0.20022
0.2,0.75,10,0.7483242248699002,0.19989,0.19987,0.20077
0.2,0.75,11,0.7484565960259472,0.20078,0.20072,0.20142
0.2,0.75,12,0.7525640992883497,0.2,0.20054,0.198
0.2,0.75,13,0.7471708201619226,0.2004,0.20062,0.20049
0.2,0.75,14,0.7498188301482619,0.20244,0.20372,0.20221
0.2,0.75,15,0.7489211824776265,0.19921,0.20002,0.19956
0.2,0.75,16,0.7552273725401681,0.20045,0.1997,0.20026
0.2,0.75,17,0.7512125076334338,0.20048,0.20078,0.20205
0.2,0.75,18,0.7544608190951025,0.20184,0.20216,0.19992
0.2,0.75,19,0.7498410590114676,0.20104,0.20109,0.20062
0.2,0.75,20,0.7471072285752636,0.19913,0.19958,0.19708
0.2,0.75,21,0.7493921799904045,0.1996,0.19997,0.19954
0.2,0.75,22,0.7484211802369224,0.19956,0.19814,0.19851
0.2,0.75,23,0.7437361346291789,0.19952,0.19902,0.19969
0.2,0.75,24,0.7464903976084082,0.19959,0.19947,0.19803
0.2,0.75,25,0.7500405582643359,0.19939,0.19963,0.19981
0.2,0.75,26,0.754811577315294,0.19994,0.19999,0.19896
0.2,0.75,27,0.7507038090181237,0.20176,0.20263,0.20213
0.2,0.75,28,0.7503887942488966,0.20093,0.2021,0.19912
0.2,0.75,29,0.7431937127810463,0.20085,0.20033,0.19802
0.2,1.0,0,1.0,0.19905,0.19905,0.20244
0.2,1.0,1,1.0,0.20006,0.20006,0.20049
0.2,1.0,2,1.0,0.19984,0.19984,0.19974
0.2,1.0,3,1.0,0.19754,0.19754,0.20027
0.2,1.0,4,1.0,0.19887,0.19887,0.19635
0.2,1.0,5,1.0,0.19864,0.19864,0.19982
0.2,1.0,6,1.0,0.1985,0.1985,0.19831
0.2,1.0,7,0.9999999999999999,0.19999,0.19999,0.19868
0.2,1.0,8,1.0,0.19987,0.19987,0.1999
0.2,1.0,9,1.0,0.20004,0.20004,0.20022
0.2,1.0,10,1.0,0.19929,0.19929,0.20077
0.2,1.0,11,0.9999999999999999,0.2017,0.2017,0.20142
0.2,1.0,12,1.0,0.20065,0.20065,0.198
0.2,1.0,13,1.0,0.19995,0.19995,0.20049
0.2,1.0,14,1.0,0.20263,0.20263,0.20221
0.2,1.0,15,1.0,0.19966,0.19966,0.19956
0.2,1.0,16,0.9999999999999999,0.20053,0.20053,0.20026
0.2,1.0,17,1.0,0.20036,0.20036,0.20205
0.2,1.0,18,1.0,0.20292,0.20292,0.19992
0.2,1.0,19,1.0,0.20012,0.20012,0.20062
0.2,1.0,20,1.0,0.19919,0.19919,0.19708
0.2,1.0,21,1.0,0.19991,0.19991,0.19954
0.2,1.0,22,1.0,0.19796,0.19796,0.19851
0.2,1.0,23,0.9999999999999999,0.19913,0.19913,0.19969
0.2,1.0,24,1.0,0.19964,0.19964,0.19803
0.2,1.0,25,1.0,0.19978,0.19978,0.19981
0.2,1.0,26,0.9999999999999999,0.20017,0.20017,0.19896
0.2,1.0,27,1.0,0.2021,0.2021,0.20213
0.2,1.0,28,1.0,0.2024,0.2024,0.19912
0.2,1.0,29,1.0,0.19888,0.19888,0.19802
