volatility,delay_steps,protocol,failure_mean,failure_ci95_halfwidth,false_block_mean
0.005,0,cached_verdict,0.0,0.0,0.0
0.005,0,fixed_window_revalidation,0.0,0.0,0.0
0.005,0,use_time_revalidation,0.0,0.0,0.0
0.005,1,cached_verdict,0.009524332072428634,0.00023820862591459357,0.001550650602716371
0.005,1,fixed_window_revalidation,0.009524332072428634,0.00023820862591459357,0.001550650602716371
0.005,1,use_time_revalidation,0.0,0.0,0.0
0.005,2,cached_verdict,0.018860711458900878,0.00032451123959330124,0.0031167528381173437
0.005,2,fixed_window_revalidation,0.018860711458900878,0.00032451123959330124,0.0031167528381173437
0.005,2,use_time_revalidation,0.0,0.0,0.0
0.005,4,cached_verdict,0.03670721538594784,0.000345800685079223,0.006222306244517861
0.005,4,fixed_window_revalidation,0.009106233247206236,0.00017493853439301828,0.0016696385276199933
0.005,4,use_time_revalidation,0.0,0.0,0.0
0.005,8,cached_verdict,0.06999081050030798,0.00045172302050033105,0.01226582582343126
0.005,8,fixed_window_revalidation,0.017833443247942775,0.0002637920520004118,0.0033966871553885126
0.005,8,use_time_revalidation,0.0,0.0,0.0
0.005,16,cached_verdict,0.1273327915717048,0.0005265280127316169,0.023321122507451584
0.005,16,fixed_window_revalidation,0.008186023694171072,0.000196497821246777,0.0017395931361307213
0.005,16,use_time_revalidation,0.0,0.0,0.0
0.01,0,cached_verdict,0.0,0.0,0.0
0.01,0,fixed_window_revalidation,0.0,0.0,0.0
0.01,0,use_time_revalidation,0.0,0.0,0.0
0.01,1,cached_verdict,0.01907114146683354,0.0003224339133128485,0.0031280922390433167
0.01,1,fixed_window_revalidation,0.01907114146683354,0.0003224339133128485,0.0031280922390433167
0.01,1,use_time_revalidation,0.0,0.0,0.0
0.01,2,cached_verdict,0.03711047864279498,0.0004563191859774652,0.00623779695081696
0.01,2,fixed_window_revalidation,0.03711047864279498,0.0004563191859774652,0.00623779695081696
0.01,2,use_time_revalidation,0.0,0.0,0.0
0.01,4,cached_verdict,0.0704338418596919,0.0005941200840052263,0.012212620299076812
0.01,4,fixed_window_revalidation,0.0176238353521904,0.0002897100819596049,0.003339316502300344
0.01,4,use_time_revalidation,0.0,0.0,0.0
0.01,8,cached_verdict,0.12782054668402748,0.0007494325967994641,0.023222122469733514
0.01,8,fixed_window_revalidation,0.03267334560694691,0.0004027743026532447,0.00680329118557438
0.01,8,use_time_revalidation,0.0,0.0,0.0
0.01,16,cached_verdict,0.21543417638014842,0.0008358925959045979,0.041826139621670096
0.01,16,fixed_window_revalidation,0.014392054788274839,0.00023634983447313356,0.0036257919976984067
0.01,16,use_time_revalidation,0.0,0.0,0.0
0.02,0,cached_verdict,0.0,0.0,0.0
0.02,0,fixed_window_revalidation,0.0,0.0,0.0
0.02,0,use_time_revalidation,0.0,0.0,0.0
0.02,1,cached_verdict,0.03739824382149176,0.00035603896970150945,0.006299408219822202
0.02,1,fixed_window_revalidation,0.03739824382149176,0.00035603896970150945,0.006299408219822202
0.02,1,use_time_revalidation,0.0,0.0,0.0
0.02,2,cached_verdict,0.07120143828607714,0.0005196425130310785,0.012327818763418793
0.02,2,fixed_window_revalidation,0.07120143828607714,0.0005196425130310785,0.012327818763418793
0.02,2,use_time_revalidation,0.0,0.0,0.0
0.02,4,cached_verdict,0.12893247848588368,0.0006528723795510049,0.023490770545852
0.02,4,fixed_window_revalidation,0.03271549313246455,0.0003465264392876254,0.006823865990184836
0.02,4,use_time_revalidation,0.0,0.0,0.0
0.02,8,cached_verdict,0.21671044996183883,0.0007937157557926156,0.042279577167627896
0.02,8,fixed_window_revalidation,0.05655798414731558,0.00039570726963167655,0.014040656548947508
0.02,8,use_time_revalidation,0.0,0.0,0.0
0.02,16,cached_verdict,0.32536584836126453,0.000714195653536053,0.06905461704548663
0.02,16,fixed_window_revalidation,0.02326080220634676,0.00024835866477120223,0.007974679749829862
0.02,16,use_time_revalidation,0.0,0.0,0.0
0.05,0,cached_verdict,0.0,0.0,0.0
0.05,0,fixed_window_revalidation,0.0,0.0,0.0
0.05,0,use_time_revalidation,0.0,0.0,0.0
0.05,1,cached_verdict,0.08920064889927334,0.0006106793771014985,0.01567651575716769
0.05,1,fixed_window_revalidation,0.08920064889927334,0.0006106793771014985,0.01567651575716769
0.05,1,use_time_revalidation,0.0,0.0,0.0
0.05,2,cached_verdict,0.15825787920974857,0.0006933240522537153,0.02922608982423477
0.05,2,fixed_window_revalidation,0.15825787920974857,0.0006933240522537153,0.02922608982423477
0.05,2,use_time_revalidation,0.0,0.0,0.0
0.05,4,cached_verdict,0.25604143626003784,0.0008257238112123035,0.05127634984654408
0.05,4,fixed_window_revalidation,0.0674213791750863,0.0004111286229755499,0.018159899619643243
0.05,4,use_time_revalidation,0.0,0.0,0.0
0.05,8,cached_verdict,0.36432640712158826,0.0008747891449028263,0.07992391074946902
0.05,8,fixed_window_revalidation,0.101446275374927,0.0005111571972100555,0.036686267965317584
0.05,8,use_time_revalidation,0.0,0.0,0.0
0.05,16,cached_verdict,0.4463247762340039,0.0007879346761105666,0.10507079041528668
0.05,16,fixed_window_revalidation,0.04021398392822399,0.0005395902220692886,0.021923589450887876
0.05,16,use_time_revalidation,0.0,0.0,0.0
