hidden_fraction,seed,protocol,threshold,fpr,tpr,known_tpr,hidden_tpr,known_attack_mean_pairwise_corr
0.0,0,single_m1,1.3021232040472863,0.1,0.5921,0.5921,nan,-0.22844807762454766
0.0,0,algorithm_diverse,0.7857499466979281,0.1,0.9439333333333333,0.9439333333333333,nan,-0.22844807762454766
0.0,0,evidence_diverse,1.3717411459038593,0.1,0.7742333333333333,0.7742333333333333,nan,-0.22844807762454766
0.0,0,max_pool,1.979925055200246,0.1,0.9213,0.9213,nan,-0.22844807762454766
0.0,0,weighted_max,1.6610079684770007,0.1,0.9232,0.9232,nan,-0.22844807762454766
0.0,0,hybrid_evidence,1.5526724421721867,0.1,0.9509666666666666,0.9509666666666666,nan,-0.22844807762454766
0.0,0,adaptive_evidence,1.6987908999807149,0.1,0.9015,0.9015,nan,-0.22844807762454766
0.0,0,conservative_max,1.8809288024402337,0.1,0.9213,0.9213,nan,-0.22844807762454766
0.0,1,single_m1,1.294221057398263,0.1,0.5938333333333333,0.5938333333333333,nan,-0.2322055925664919
0.0,1,algorithm_diverse,0.7741525069297664,0.1,0.9485333333333333,0.9485333333333333,nan,-0.2322055925664919
0.0,1,evidence_diverse,1.3845407055904815,0.1,0.7671333333333333,0.7671333333333333,nan,-0.2322055925664919
0.0,1,max_pool,1.9717841258125217,0.1,0.9249666666666667,0.9249666666666667,nan,-0.2322055925664919
0.0,1,weighted_max,1.6615547712634424,0.1,0.9244666666666667,0.9244666666666667,nan,-0.2322055925664919
0.0,1,hybrid_evidence,1.5478841179256027,0.1,0.9529333333333333,0.9529333333333333,nan,-0.2322055925664919
0.0,1,adaptive_evidence,1.6976135541562054,0.1,0.9039333333333334,0.9039333333333334,nan,-0.2322055925664919
0.0,1,conservative_max,1.8731949195218955,0.1,0.9249666666666667,0.9249666666666667,nan,-0.2322055925664919
0.0,2,single_m1,1.299665663234799,0.1,0.5910666666666666,0.5910666666666666,nan,-0.23207224540933188
0.0,2,algorithm_diverse,0.782036671740407,0.1,0.9481333333333334,0.9481333333333334,nan,-0.23207224540933188
0.0,2,evidence_diverse,1.3830579487444645,0.1,0.7712333333333333,0.7712333333333333,nan,-0.23207224540933188
