corruption,seed,protocol,containment_failure_rate,false_block_rate,benign_success_rate
0.01,11,halo_redundant,0.0,0.011921360847741216,0.9880786391522588
0.01,12,model_monitor,0.3203249161221967,0.003975727139568948,0.996024272860431
0.01,12,deterministic,0.0077697333568779794,0.006695961498221385,0.9933040385017786
0.01,12,halo_redundant,0.0001765848490199541,0.013949919787961219,0.9860500802120388
0.01,13,model_monitor,0.3166043780032034,0.004519852583269592,0.9954801474167304
0.01,13,deterministic,0.007296672005694963,0.00730130032682011,0.9926986996731799
0.01,13,halo_redundant,0.0003559352197899982,0.015019817815172797,0.9849801821848272
0.01,14,model_monitor,0.3193735702973781,0.004889292449535517,0.9951107075504645
0.01,14,deterministic,0.007214499384128101,0.007543479779283369,0.9924565202207166
0.01,14,halo_redundant,0.0,0.014877418453586646,0.9851225815464133
0.01,15,model_monitor,0.3264294565409807,0.003832485541077277,0.9961675144589227
0.01,15,deterministic,0.007966011683483803,0.007525607971569925,0.99247439202843
0.01,15,halo_redundant,0.0001770224818551956,0.016305483938401505,0.9836945160615985
0.01,16,model_monitor,0.3163138231631382,0.00465957298838584,0.9953404270116142
0.01,16,deterministic,0.008361501512186443,0.006885040684331317,0.9931149593156687
0.01,16,halo_redundant,0.0,0.014117810696154113,0.9858821893038459
0.01,17,model_monitor,0.32455197132616487,0.004438280166435506,0.9955617198335645
0.01,17,deterministic,0.007885304659498209,0.007836338418862691,0.9921636615811373
0.01,17,halo_redundant,0.0,0.015048543689320388,0.9849514563106796
0.01,18,model_monitor,0.31820589793395726,0.004394224733207784,0.9956057752667922
0.01,18,deterministic,0.007946318205897933,0.00732370788867964,0.9926762921113204
0.01,18,halo_redundant,0.0,0.014089418985840832,0.9859105810141592
0.01,19,model_monitor,0.3182944090587403,0.004042375243936437,0.9959576247560635
0.01,19,deterministic,0.008669497523000707,0.0071090047393364926,0.9928909952606635
0.01,19,halo_redundant,0.00035385704175513094,0.01533314747700028,0.9846668525229997
0.02,0,model_monitor,0.3250801567509797,0.009870707632420409,0.9901292923675796
0.02,0,deterministic,0.014071962949768436,0.016474350062560823,0.9835256499374392
0.02,0,halo_redundant,0.00017812611328820805,0.026623105797302933,0.973376894202697
0.02,1,model_monitor,0.32574554437974235,0.00844205679201842,0.9915579432079816
0.02,1,deterministic,0.018704782071642844,0.014093351008162981,0.985906648991837
0.02,1,halo_redundant,0.0003529204164460914,0.029093699853484964,0.970906300146515
0.02,2,model_monitor,0.323906083244397,0.009250243427458617,0.9907497565725414
0.02,2,deterministic,0.014763429384560654,0.015301154541660872,0.9846988454583391
0.02,2,halo_redundant,0.0005336179295624333,0.030532758380859646,0.9694672416191403
0.02,3,model_monitor,0.32056814095649044,0.010458512259315695,0.9895414877406843
0.02,3,deterministic,0.018338727076591153,0.016068707577226764,0.9839312924227732
0.02,3,halo_redundant,0.0005393743257820927,0.02742762155423189,0.9725723784457682
0.02,4,model_monitor,0.32626892252894035,0.009315258950295446,0.9906847410497046
0.02,4,deterministic,0.018521816562778272,0.01480709071949948,0.9851929092805005
0.02,4,halo_redundant,0.0007123775601068567,0.027737226277372264,0.9722627737226277
0.02,5,model_monitor,0.3208209086125241,0.009511154626197636,0.9904888453738023
0.02,5,deterministic,0.017189966672513594,0.014546471781243443,0.9854535282187565
0.02,5,halo_redundant,0.00017540782318891423,0.030002098048814603,0.9699979019511854
0.02,6,model_monitor,0.31371834578247404,0.009027634208531459,0.9909723657914685
0.02,6,deterministic,0.015121151393696484,0.01598787127007098,0.984012128729929
0.02,6,halo_redundant,0.0007287301876480233,0.026945076149128246,0.9730549238508718
0.02,7,model_monitor,0.32624736472241744,0.010693318423259714,0.9893066815767403
0.02,7,deterministic,0.017919887561489812,0.015865250209672912,0.9841347497903271
0.02,7,halo_redundant,0.00035137034434293746,0.029563880346659212,0.9704361196533408
0.02,8,model_monitor,0.32935393258426965,0.009088366890380313,0.9909116331096197
0.02,8,deterministic,0.01580056179775281,0.014471476510067114,0.9855285234899329
0.02,8,halo_redundant,0.00017556179775280898,0.02957214765100671,0.9704278523489933
0.02,9,model_monitor,0.3293678977272727,0.009117483296213808,0.9908825167037862
0.02,9,deterministic,0.018998579545454544,0.014337416481069043,0.985662583518931
0.02,9,halo_redundant,0.0005326704545454545,0.02971881959910913,0.9702811804008908
0.02,10,model_monitor,0.33480956598759964,0.009683037269244165,0.9903169627307559
0.02,10,deterministic,0.018954827280779452,0.014768373389063044,0.985231626610937
0.02,10,halo_redundant,0.000354295837023915,0.02821316614420063,0.9717868338557993
0.02,11,model_monitor,0.3185997171145686,0.010108756274400447,0.9898912437255996
0.02,11,deterministic,0.01644271570014144,0.015895147796988286,0.9841048522030117
0.02,11,halo_redundant,0.0,0.02649191299498048,0.9735080870050196
0.02,12,model_monitor,0.3226205191594561,0.0091371974611146,0.9908628025388854
0.02,12,deterministic,0.01430337277061628,0.015065913370998116,0.9849340866290018
0.02,12,halo_redundant,0.0003531696980399082,0.027411592383343796,0.9725884076166562
0.02,13,model_monitor,0.3219434063000534,0.009317849940894235,0.9906821500591058
0.02,13,deterministic,0.016550987720234916,0.014880745427995272,0.9851192545720048
0.02,13,halo_redundant,0.0007118704395799964,0.02920520130728044,0.9707947986927196
0.02,14,model_monitor,0.3197254970966039,0.008451491234197108,0.9915485087658029
0.02,14,deterministic,0.013021291571353158,0.01327093664873926,0.9867290633512608
0.02,14,halo_redundant,0.00035192679922576106,0.028357896207306,0.971642103792694
0.02,15,model_monitor,0.3292618162506638,0.007386244860985297,0.9926137551390147
0.02,15,deterministic,0.015400955921402018,0.014633126611385966,0.9853668733886141
0.02,15,halo_redundant,0.0001770224818551956,0.030450839662741272,0.9695491603372587
0.02,16,model_monitor,0.31649172745063153,0.008901870783781905,0.9910981292162181
0.02,16,deterministic,0.01636719444938623,0.014395994158147298,0.9856040058418527
0.02,16,halo_redundant,0.0001779042874933286,0.02927880937478267,0.9707211906252173
0.02,17,model_monitor,0.328673835125448,0.008183079056865465,0.9918169209431346
0.02,17,deterministic,0.016845878136200716,0.014216366158113732,0.9857836338418863
0.02,17,halo_redundant,0.00017921146953405018,0.029958391123439666,0.9700416088765603
0.02,18,model_monitor,0.3222673494614162,0.009346446257934017,0.990653553742066
0.02,18,deterministic,0.01642239095885573,0.014786914975238893,0.9852130850247611
0.02,18,halo_redundant,0.0001765848490199541,0.029225081955778755,0.9707749180442212
0.02,19,model_monitor,0.3205944798301486,0.008642319487036521,0.9913576805129635
0.02,19,deterministic,0.017338995046001414,0.015054362977418455,0.9849456370225815
0.02,19,halo_redundant,0.0007077140835102619,0.02899358795650962,0.9710064120434904
0.05,0,model_monitor,0.33772711079444245,0.02224384818573613,0.9777561518142639
0.05,0,deterministic,0.04096900605628785,0.036702349506464615,0.9632976504935353
0.05,0,halo_redundant,0.0021375133594584966,0.07090226609203393,0.929097733907966
0.05,1,model_monitor,0.3349214752073407,0.023442405637340402,0.9765575943626597
0.05,1,deterministic,0.04076230809952356,0.036558989743947536,0.9634410102560524
0.05,1,halo_redundant,0.0021175224986765486,0.06690853275657574,0.9330914672434243
0.05,2,model_monitor,0.33208822483102096,0.02183892057309779,0.9781610794269022
0.05,2,deterministic,0.03859836357168268,0.035401307553206286,0.9645986924467937
0.05,2,halo_redundant,0.0021344717182497333,0.07031576018917791,0.929684239810822
0.05,3,model_monitor,0.3263214670981661,0.025141986424712565,0.9748580135752875
0.05,3,deterministic,0.04261057173678533,0.03857875051946253,0.9614212494805374
0.05,3,halo_redundant,0.0030564545127651924,0.06863831555617121,0.9313616844438288
0.05,4,model_monitor,0.3312555654496883,0.02356621480709072,0.9764337851929092
0.05,4,deterministic,0.03722172751558326,0.03851233924226625,0.9614876607577337
0.05,4,halo_redundant,0.0019590382902938555,0.06750086896072298,0.9324991310392771
0.05,5,model_monitor,0.33099456235748115,0.024267431288901322,0.9757325687110987
0.05,5,deterministic,0.04174706191896158,0.03727533393943632,0.9627246660605637
0.05,5,halo_redundant,0.0017540782318891423,0.07154346457794251,0.9284565354220575
0.05,6,model_monitor,0.3217343778466023,0.023775067190407277,0.9762249328095928
0.05,6,deterministic,0.03661869192931317,0.03928054579284681,0.9607194542071532
0.05,6,halo_redundant,0.0023683731098560756,0.06987802356832748,0.9301219764316725
0.05,7,model_monitor,0.33643710470836263,0.02460162147050601,0.975398378529494
0.05,7,deterministic,0.04251581166549543,0.03732177802627901,0.962678221973721
0.05,7,halo_redundant,0.002459592410400562,0.06940173329605814,0.9305982667039419
0.05,8,model_monitor,0.34041432584269665,0.023699664429530202,0.9763003355704698
0.05,8,deterministic,0.03967696629213483,0.03810123042505593,0.961898769574944
0.05,8,halo_redundant,0.0014044943820224719,0.07060961968680089,0.9293903803131991
0.05,9,model_monitor,0.3370028409090909,0.02296770601336303,0.9770322939866369
0.05,9,deterministic,0.03941761363636364,0.03633073496659243,0.9636692650334076
0.05,9,halo_redundant,0.0026633522727272725,0.07245267260579065,0.9275473273942093
0.05,10,model_monitor,0.3495128432240921,0.022361546499477535,0.9776384535005225
0.05,10,deterministic,0.04676705048715678,0.036502960640891674,0.9634970393591084
0.05,10,halo_redundant,0.0019486271036315323,0.06506443747823058,0.9349355625217695
0.05,11,model_monitor,0.32867751060820366,0.024539877300613498,0.9754601226993865
0.05,11,deterministic,0.04225601131541726,0.03820412716118238,0.9617958728388176
0.05,11,halo_redundant,0.0012376237623762376,0.0672755158951478,0.9327244841048522
0.05,12,model_monitor,0.32986049796927425,0.02322661644695543,0.9767733835530445
0.05,12,deterministic,0.037082818294190356,0.03822278021901374,0.9617772197809863
0.05,12,halo_redundant,0.0030019424333392196,0.06563437260235754,0.9343656273976425
0.05,13,model_monitor,0.33279943050364835,0.022460190529170435,0.9775398094708295
0.05,13,deterministic,0.03844100373731981,0.03595021208539045,0.9640497879146096
0.05,13,halo_redundant,0.001779676098949991,0.06745010778110007,0.9325498922189
0.05,14,model_monitor,0.3290515572760866,0.021931968987916464,0.9780680310120835
0.05,14,deterministic,0.0388879113144466,0.03527275267164909,0.9647272473283509
0.05,14,halo_redundant,0.0014077071969030442,0.06900887057344415,0.9309911294265558
0.05,15,model_monitor,0.3389980527526996,0.022576823914709776,0.9774231760852903
0.05,15,deterministic,0.036820676225880686,0.037279632081388056,0.9627203679186119
0.05,15,halo_redundant,0.0012391573729863693,0.06654588530415999,0.93345411469584
0.05,16,model_monitor,0.3273438889877246,0.022950135614437723,0.9770498643855623
0.05,16,deterministic,0.038605230386052306,0.0358856665971208,0.9641143334028792
0.05,16,halo_redundant,0.0016011385874399574,0.07191042492523819,0.9280895750747618
0.05,17,model_monitor,0.339247311827957,0.021844660194174758,0.9781553398058253
0.05,17,deterministic,0.04068100358422939,0.03633841886269071,0.9636615811373093
0.05,17,halo_redundant,0.0014336917562724014,0.07191400832177532,0.9280859916782247
0.05,18,model_monitor,0.330743422214374,0.024203110832112715,0.9757968891678873
0.05,18,deterministic,0.03973159102948967,0.038083281021134126,0.9619167189788659
0.05,18,halo_redundant,0.0017658484901995409,0.07023784613238473,0.9297621538676153
0.05,19,model_monitor,0.33121019108280253,0.021396710342904933,0.9786032896570951
0.05,19,deterministic,0.038747346072186835,0.036241984945637025,0.963758015054363
0.05,19,halo_redundant,0.0017692852087756545,0.0695567326456649,0.9304432673543351
0.1,0,model_monitor,0.3517990737442109,0.04462672042263312,0.9553732795773668
0.1,0,deterministic,0.07695048094050588,0.07305713888502711,0.9269428611149729
0.1,0,halo_redundant,0.006234413965087282,0.12838871124704573,0.8716112887529542
0.1,1,model_monitor,0.34886183165696133,0.0459778134375218,0.9540221865624782
0.1,1,deterministic,0.07958355390859362,0.07318774855229192,0.9268122514477081
0.1,1,halo_redundant,0.006352567496029645,0.12963092164934067,0.8703690783506594
0.1,2,model_monitor,0.3479188900747065,0.044721101683127,0.955278898316873
0.1,2,deterministic,0.07221629313411597,0.07059396299902629,0.9294060370009737
0.1,2,halo_redundant,0.006937033084311633,0.12776464042286828,0.8722353595771317
0.1,3,model_monitor,0.34178353110391946,0.05014544950824214,0.9498545504917578
0.1,3,deterministic,0.07910823444804027,0.07494112757999723,0.9250588724200027
0.1,3,halo_redundant,0.007371449119021934,0.12931153899432055,0.8706884610056794
0.1,4,model_monitor,0.3421193232413179,0.04692387904066736,0.9530761209593326
0.1,4,deterministic,0.07230632235084594,0.07417448731317344,0.9258255126868266
0.1,4,halo_redundant,0.00730186999109528,0.12554744525547445,0.8744525547445255
0.1,5,model_monitor,0.34625504297491666,0.04601720400027974,0.9539827959997202
0.1,5,deterministic,0.07823188914225575,0.07147352961745576,0.9285264703825442
0.1,5,halo_redundant,0.0059638659884230835,0.12986922162388978,0.8701307783761102
0.1,6,model_monitor,0.33885953725633083,0.04513817104265729,0.9548618289573427
0.1,6,deterministic,0.07433047914009838,0.07339259871821377,0.9266074012817862
0.1,6,halo_redundant,0.00874476225177628,0.12907449521052994,0.8709255047894701
0.1,7,model_monitor,0.34978917779339425,0.04598825831702544,0.9540117416829745
0.1,7,deterministic,0.07853127196064652,0.07149846239865809,0.9285015376013419
0.1,7,halo_redundant,0.008959943780744906,0.1280402571987699,0.8719597428012301
0.1,8,model_monitor,0.35042134831460675,0.04697986577181208,0.9530201342281879
0.1,8,deterministic,0.07777387640449439,0.07389541387024609,0.9261045861297539
0.1,8,halo_redundant,0.007022471910112359,0.13338926174496643,0.8666107382550335
0.1,9,model_monitor,0.3503196022727273,0.04523942093541203,0.954760579064588
0.1,9,deterministic,0.07404119318181818,0.07133908685968819,0.9286609131403119
0.1,9,halo_redundant,0.008345170454545454,0.13286469933184855,0.8671353006681515
0.1,10,model_monitor,0.3592559787422498,0.04472309299895507,0.955276907001045
0.1,10,deterministic,0.08148804251550044,0.07014977359804946,0.9298502264019506
0.1,10,halo_redundant,0.006377325066430469,0.1239289446185998,0.8760710553814002
0.1,11,model_monitor,0.34105374823196605,0.04796430563301729,0.9520356943669828
0.1,11,deterministic,0.0762022630834512,0.07257389849414389,0.9274261015058561
0.1,11,halo_redundant,0.004773691654879774,0.12569715560513106,0.8743028443948689
0.1,12,model_monitor,0.3439872858908706,0.04617423449815163,0.9538257655018484
0.1,12,deterministic,0.0688680911177821,0.07253958289739834,0.9274604171026016
0.1,12,halo_redundant,0.008829242450997704,0.12757201646090535,0.8724279835390947
0.1,13,model_monitor,0.35113009432283326,0.045546206800639734,0.9544537931993603
0.1,13,deterministic,0.0820430681615946,0.07148320700924832,0.9285167929907516
0.1,13,halo_redundant,0.009254315714539954,0.1255823656213059,0.8744176343786941
0.1,14,model_monitor,0.34647193383776176,0.042676538380945726,0.9573234616190542
0.1,14,deterministic,0.0804152736230864,0.07019627016833135,0.9298037298316686
0.1,14,halo_redundant,0.0054548653879992965,0.12733114479290353,0.8726688552070965
0.1,15,model_monitor,0.35333687378297046,0.044874921608250296,0.9551250783917498
0.1,15,deterministic,0.07275624004248539,0.07163263884049892,0.9283673611595011
0.1,15,halo_redundant,0.0060187643830766505,0.12263953731447286,0.8773604626855271
0.1,16,model_monitor,0.33819605052481766,0.04499617497739759,0.9550038250226024
0.1,16,deterministic,0.07098381070983811,0.07121496627025524,0.9287850337297447
0.1,16,halo_redundant,0.005515032912293186,0.12998122261631545,0.8700187773836845
0.1,17,model_monitor,0.3528673835125448,0.04382801664355063,0.9561719833564494
0.1,17,deterministic,0.07688172043010753,0.070249653259362,0.9297503467406381
0.1,17,halo_redundant,0.007526881720430108,0.12794729542302358,0.8720527045769764
0.1,18,model_monitor,0.34981458590852904,0.04945246564832252,0.9505475343516775
0.1,18,deterministic,0.07911001236093942,0.07602706284438865,0.9239729371556114
0.1,18,halo_redundant,0.006357054564718347,0.12910650763758108,0.870893492362419
0.1,19,model_monitor,0.3443029016277424,0.04216615556175077,0.9578338444382493
0.1,19,deterministic,0.07607926397735315,0.0695567326456649,0.9304432673543351
0.1,19,halo_redundant,0.005484784147204529,0.12719542793420685,0.8728045720657931
0.2,0,model_monitor,0.3868899180619879,0.08960100097316835,0.9103989990268316
0.2,0,deterministic,0.14481653010331313,0.1372862505213402,0.8627137494786599
